key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
Arim2004557,Intraguild predation: A widespread interaction related to species biology,2004,1,1,Ecology Letters,"1461-023X, 1461-023X",7,,557-564,"Arim, M. and Marquet, P.A.",10.1111/j.1461-0248.2004.00613.x,,,,"Intraguild predation (IGP), defined as killing and eating among potential competitors, seems to be a ubiquitous interaction, differing from competition or predation. In the present study we assess the frequency of IGP among 763 potential intraguild prey and 599 potential intraguild predators. Our results indicate that IGP is common in nature, reaching frequencies between 58.4 and 86.7%. A null model suggests that IGP in different groups of predators and prey (i.e. carnivores, omnivores, herbivores, detritivores, or top and intermediate species) have different deviations from a chance expectation, indicating these attributes of species biology as main determinants of IGP persistence. We suggest that IGP satisfies two basic requirements to be considered as important to the trophic structuring of communities. First, its occurrence is not random, rather it is associated with well-defined attributes of species biology, and secondly, it is a widespread interaction."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Arredondo.Nez20091,How beneficial are nurse plants? A meta-analysis of the effects of cushion plants on high-Andean plant communities,2009,1,1,Community Ecology,,10,,01-Jun,"Arredondo-Nez, A. and Badano, E.I. and Bustamante, R.O.",10.1556/ComEc.10.2009.1.1,,,,"Facilitation by nurse plants is one of the most commonly reported interactions between plants and is regarded as an important factor in structuring plant communities. We used a meta-analysis to examine the generality of these effects, focusing on cushion plants, a common life-form occurring in high-Andean ecosystems. We targeted the following questions: (1) is there a generalized positive effect of cushions on other vascular plant species along the Andes? (2) do different species groups (i.e., annuals and perennials, natives and exotics) display different association responses to cushions? (3) does the nurse effect of cushions increase with environmental severity? Results indicated that the overall effect of cushions is positive, however these positive effects were more significant amongst exotic plants than in native plants; effects were only positive for perennial plants, and were notably negative for annuals. The positive effects of cushions also increased with physical stress, but only for perennial plants. These results allow us to suggest that as a whole cushions may be acting as keystone species that maintain the structure and diversity of high-Andean plant communities. Nevertheless, since cushions also positively affect the performance of exotic plants, we should be aware of their potential role in promoting biological invasions.  Akadmiai Kiad Budapest."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Arribas2018,Predation and competition differentially affect the interactions and trophic niches of a Neotropical amphibian guild,2018,1,1,Frontiers in Ecology and Evolution,,6,,NA,"Arribas, R. and Touchon, J.C. and Gomez-Mestre, I.",10.3389/fevo.2018.00028,,,,"Competition and predation alter individual traits of organisms, and these effects can scale-up to have consequences on community structure and dynamics. The relative importance of competition and predation will depend largely on the local assemblage of species, the type of predators, or the degree of niche segregation. We experimentally investigated the interplay of competition and predation on the structure and trophic level (measured via stable isotope analysis) of a seven-species Neotropical freshwater guild using a mesocosm approach in central Panama. We tested the effect of two types of predators (dragonfly nymphs or adult water bugs) in combination with the presence/absence of a common competitor, the red-eyed treefrog (Agalychnis callidryas), on four core species of tadpoles. We also distinguished between consumptive and non-consumptive effects of each type of predator by presenting them to tadpoles caged or freely roaming. Dragonfly larvae were more efficient predators than water bugs, but these effects were not uniform for all tadpole species. All amphibian species grew bigger when raised in the presence of an uncaged dragonfly nymph, presumably due to reduced competition through thinning, but tadpoles were smaller when exposed to caged dragonfly nymphs indicating the existence of non-consumptive predator effects as well. Predator presence also altered the relative trophic position of the different amphibian species, causing some tadpole species to increase and others to decrease their trophic status. Despite the presumed ecological similarity of tadpole species in the guild, the interplay of competition and predation had varying effects on the trophic status of nearly every species. Our results indicate that community composition can greatly affect the trophic level of larval amphibians, and that predation may have a greater role than competition in structuring Neotropical larval amphibian guilds.  2018 Arribas, Touchon and Gomez-Mestre."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Bancroft2007332,Effects of UVB radiation on marine and freshwater organisms: A synthesis through meta-analysis,2007,1,1,Ecology Letters,"1461-023X, 1461-023X",10,,332-345,"Bancroft, B.A. and Baker, N.J. and Blaustein, A.R.",10.1111/j.1461-0248.2007.01022.x,,,,"Ultraviolet-B (UVB) radiation is a global stressor with potentially far-reaching ecological impacts. In the first quantitative analysis of the effects of UVB on aquatic organisms, we used meta-analytic techniques to explore the effects of UVB on survival and growth in freshwater and marine systems. Based on the large body of literature on the effects of UVB in aquatic systems, we predicted that UVB would have different effects in different habitats, experimental venues, trophic groups and life history stages. Contrary to our predictions, we found an overall negative effect of UVB on both survival and growth that crossed life histories, trophic groups, habitats and experimental venues. UVB had larger negative effects on growth in embryos compared with later life history stages. Despite the overall negative effect of UVB, effect sizes varied widely. In the survival analyses, no relationship between mean effect size and taxonomic groups or levels of exposure to UVB was detected. In the growth analyses, a larger negative effect on protozoans was observed. Our analyses suggest that the effects of UVB in aquatic systems are large and negative but highly variable between organisms. Variation in susceptibility may have important implications for population and community structure.  2007 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Bancroft2008987,"A meta-analysis of the effects of ultraviolet B radiation and its synergistic interactions with pH, contaminants, and disease on amphibian survival",2008,1,1,Conservation Biology,0888-8892,22,,987-996,"Bancroft, B.A. and Baker, N.J. and Blaustein, A.R.",10.1111/j.1523-1739.2008.00966.x,,,,"Human alterations to natural systems have resulted in a loss of biological diversity around the world. Amphibian population losses have been more severe than those of birds and mammals. Amphibian population declines are likely due to many factors including habitat loss, disease, contaminants, introduced species and ultraviolet-B (UVB) radiation. The effect of UVB, however, varies widely among species and can vary within populations of the same species or at different life-history stages. This variation has often led to opposing conclusions about how UVB affects amphibians. We used meta-analysis techniques to explore the overall effects of UVB radiation on survival in amphibians. We also used recently developed factorial meta-analytic techniques to quantify potential interactions between UVB radiation and other stressors on amphibians. Ultraviolet-B radiation reduced survival of amphibians by 1.9-fold compared with shielded controls. Larvae were more susceptible to damage from UVB radiation compared with embryos, and salamanders were more susceptible compared with frogs and toads. Furthermore, UVB radiation interacted synergistically with other environmental stressors and resulted in greater than additive effects on survival when 2 stressors were present. Our results suggest that UVB radiation is an important stressor in amphibians, particularly in light of potential synergisms between UVB and other stressors in amphibian habitats.  2008 Society for Conservation Biology."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Barton2010481,The ontogeny of plant defense and herbivory: Characterizing general patterns using meta-analysis,2010,1,1,American Naturalist,1537-5323,175,,481-493,"Barton, K.E. and Koricheva, J.",10.1086/650722,,,,"Defense against herbivores often changes dramatically as plants develop. Hypotheses based on allocation theory and herbivore selection patterns predict that defense should increase or decrease, respectively, across ontogeny, and previous research partly supports both predictions. Thus, it remains unclear which pattern is more common and what factors contribute to variability among studies. We conducted a meta-analysis of 116 published studies reporting ontogenetic patterns in plant defense traits and herbivory. Patterns varied depending on plant life form (woody, herbaceous, grass), type of herbivore (insect, mollusk, mammal), and type of defense trait (secondary chemistry, physical defense, tolerance). In woody plants, chemical defense increased during the seedling stage, followed by an increase in physical defenses during the vegetative juvenile stage. Mammalian herbivores showed a strong preference for mature compared to juvenile tissues in woody plants. Herbs experienced a significant increase in secondary chemistry across the entire ontogenetic trajectory, although the magnitude of increase was greatest during the seedling stage. Correspondingly, mollusks preferred young compared to older herbs. Future research investigating growth/defense trade-offs, allometry, herbivore selection patterns, and ecological costs would shed light on the mechanisms driving the ontogenetic patterns observed.  2010 by The University of Chicago."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Becker201854,Response of estuarine consumer communities following the stocking of a juvenile penaeid (Penaeus plebejus) over two consecutive years,2018,1,1,Fisheries Management and Ecology,0969-997X,25,,54-65,"Becker, A. and Lowry, M.B. and Taylor, M.D.",10.1111/fme.12267,,,,"Research programmes that monitor and evaluate the impact of stocking activities are essential to quantify effects of stocking and provide information for adaptive management of future releases. The consumer communities in two estuaries stocked with 5.8 million post-larvae eastern king prawn Penaeus plebejus (Hess) were monitored, both before and after stocking, and relative to two similar reference estuaries. Following stocking, there was evidence of increases in the abundances of prawns within stocked estuaries. Communities in all four estuaries showed significant levels of variation over time as well as among the systems themselves. Changes in overall diversity were similarly observed. The presence or absence of vegetation and other seasonal effects were found to explain most of the observed variation in the community assemblage, while prawn stocking appeared to have a little detectable influence. While this study points to minimal impacts of prawn stocking on the consumer community at the densities used, research into potential shifts in resource use by competitors and the growth and survival of prawns is required to fully understand post-release changes in stocked systems.  2017 Commonwealth of Australia. Fisheries Management and Ecology 2017 John Wiley & Sons Ltd"," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Belgrano20071,Aquatic food webs: An ecosystem approach,2007,1,1,Aquatic Food Webs: An ecosystem approach,9780191713828 (ISBN); 9780198564836 (ISBN),,,1-272,"Belgrano, A. and Scharler, U.M. and Dunne, J.A. and Ulanowicz, R.E.",10.1093/acprof:oso/9780198564836.001.0001,,,,"This book provides a synthesis of theoretical and empirical food web research. Whether they are binary systems or weighted networks, food webs are of particular interest to ecologists by providing a macroscopic view of ecosystems. They describe interactions between species and their environment, and subsequent advances in the understanding of their structure, function, and dynamics are of vital importance to ecosystem management and conservation. This book covers issues of structure, function, scaling, complexity, and stability in the contexts of conservation, fisheries, and climate. Although the focus of this volume is upon aquatic food webs (where many of the recent advances have been made), many other issues are addressed.  Oxford University Press, 2005. All rights reserved."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-LABELS: book | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Bellamy2018233,Mosquito responses to trait- and density-mediated interactions of predation,2018,1,1,Oecologia,0029-8549,187,,233-243,"Bellamy, S.K. and Alto, B.W.",10.1007/s00442-018-4107-5,,,,"Mosquito and predatory larvae often share the same habitat. Predators may influence mosquito prey populations through both lethal effect and non-lethal pathways. A series of experimental manipulations were used to distinguish between lethal (density-mediated interaction) and non-lethal (trait-mediated interaction) effects in a model system comprised of invasive prey mosquito, Aedes aegypti, and a predatory mosquito Toxorhynchites rutilus. Treatments with predators present or manipulations mimicking daily mortality (density reduction) reduced developmental time and recruitment to the adult stage. Daily records of adult survival of A. aegypti showed that exposure to predators during the juvenile stage shortened the lifespan of adults. This was also observed in treatments, where A. aegypti were replaced at the rate of consumption by T. rutilus. In contrast, numerical reductions in A. aegypti that mimicked daily rate of predation led to adults with the longest lifespan. These observations suggest strong effects of density and trait-mediated interactions in the influence of predators on mosquito biology relevant to their ability to transmit pathogens. These results have potentially important implications for disease control strategies. The primary approach to reduce risk of mosquito-borne diseases is through population reduction of the vectors. We show an unanticipated benefit of biological control by predation for the control of juvenile stages of mosquitoes. Specifically, mosquitoes that are exposed to predators but survive to adulthood will have compromised life expectancy, a key parameter in determining risk of disease transmission.  2018, Springer-Verlag GmbH Germany, part of Springer Nature."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Bijleveld20151943,Natural selection by pulsed predation: Survival of the thickest,2015,1,1,Ecology,0012-9658,96,,1943-1956,"Bijleveld, A.I. and Twietmeyer, S. and Piechocki, J. and Van Gils, J.A. and Piersma, T. and Vermeij, G.J.",10.1890/14-1845.1,,,,"Selective predation can lead to natural selection in prey populations and may alleviate competition among surviving individuals. The processes of selection and competition can have substantial effects on prey population dynamics, but are rarely studied simultaneously. Moreover, field studies of predator-induced short-term selection pressures on prey populations are scarce. Here we report measurements of density dependence in body composition in a bivalve prey (edible cockle, Cerastoderma edule) during bouts of intense predation by an avian predator (Red Knot, Calidris canutus). We measured densities, patchiness, morphology, and body composition (shell and flesh mass) of cockles in a quasi-experimental setting, i.e., before and after predation in three similar plots of 1 ha each, two of which experienced predation, and one of which remained unvisited in the course of the short study period and served as a reference. An individual's shell and flesh mass declined with cockle density (negative density dependence). Before predation, cockles were patchily distributed. After predation, during which densities were reduced by 78% (from 232 to 50 cockles/m2), the patchiness was substantially reduced, i.e., the spatial distribution was homogenized. Red Knots selected juvenile cockles with an average length of 6. 6 1.0 mm (mean  SD). Cockles surviving predation had heavier shells than before predation (an increase of 21.5 percentage points), but similar flesh masses. By contrast, in the reference plot shell mass did not differ statistically between initial and final sampling occasions, while flesh mass was larger (an increase of 13.2 percentage points). In this field study, we show that Red Knots imposed a strong selection pressure on cockles to grow fast with thick shells and little flesh mass, with selection gradients among the highest reported in the literature.  2015 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
