"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","n_duplicates","studyID"
"Kivlin_2013_AmJoofBo","Fungal symbionts alter plant responses to global change",2013,1,1,"American Journal of Botany","",100,NA,"1445-1457","Kivlin, S.N. and Emery, S.M. and Rudgers, J.A.","10.3732/ajb.1200558",NA,NA,NA,"While direct plant responses to global change have been well characterized, indirect plant responses to global change, via altered species interactions, have received less attention. Here, we examined how plants associated with four classes of fungal symbionts (class I leaf endophytes [EF], arbuscular mycorrhizal fungi [AMF], ectomycorrhizal fungi [ECM], and dark septate endophytes [DSE]) responded to four global change factors (enriched CO2, drought, N deposition, and warming). We performed a meta-analysis of 434 studies spanning 174 publications to search for generalizable trends in responses of plant-fungal symbioses to future environments. Specifically, we addressed the following questions: (1) Can fungal symbionts ameliorate responses of plants to global change? (2) Do fungal symbiont groups differ in the degree to which they modify plant response to global change? (3) Do particular global change factors affect plant-fungal symbioses more than others? In all global change scenarios, except elevated CO2, fungal symbionts significantly altered plant responses to global change. In most cases, fungal symbionts increased plant biomass in response to global change. However, increased N deposition reduced the benefits of symbiosis. Of the global change factors we considered, drought and N deposition resulted in the strongest fungal mediation of plant responses. Our analysis highlighted gaps in current knowledge for responses of particular fungal groups and revealed the importance of considering not only the nonadditive effects of multiple global change factors, but also the interactive effects of multiple fungal symbioses. Our results show that considering plant-fungal symbioses is critical to predicting ecosystem response to global change.  2013 Botanical Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR11"
"Hillebrand_2008_Ecol","Grazing regulates the spatial variability of periphyton biomass",2008,1,1,"Ecology","0012-9658",89,NA,"165-173",", Hillebr and , H.","10.1890/06-1910.1",NA,NA,NA,"The presence of consumers not only alters the mean biomass of the prey assemblage, but also affects the spatial heterogeneity of biomass distribution. Whereas the mean prey biomass is generally reduced by consumer presence, the effect on spatial heterogeneity is less clear-cut. A meta-analysis of almost 600 field experiments manipulating the presence of benthic invertebrate or vertebrate grazers was conducted to analyze the effect of grazers on both the absolute spatial variability of periphyton biomass and the relative variability, which was standardized to the mean. Effects on absolute variability were measured as the log response ratio of the standard deviation of biomass (LR-SD), whereas effects on relative variability were measured as the log response ratio of the coefficient of variation of biomass (LR-CV). The overall magnitude and range of LR-SD and LR-CV indicated that grazers not only reduced periphyton biomass, but also substantially altered their spatial distribution. However, grazer effects differed strongly for absolute and relative variability. On average, grazers reduced the absolute spatial variability in prey biomass by 50% (average LRSD = -0.68) but increased the relative variability by 24% (average LR-CV = 0.22). The magnitude of LR-SD strongly depended on the efficiency of grazing, with strong biomass removal leading to strong homogenization. Moreover, LR-CV and LR-SD were significantly affected by habitat type (freshwater vs. coastal) and substrata. Given the importance of spatial heterogeneity for resource uptake, competition and the maintenance of diversity, grazer presence has potentially strong indirect effects on the interactions within prey assemblages.  2008 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR12"
"Wood_2017_BiolRevi","Herbivore regulation of plant abundance in aquatic ecosystems",2017,1,1,"Biological Reviews","1464-7931",92,NA,"1128-1141","Wood, K.A. and Ohare, M.T. and McDonald, C. and Searle, K.R. and Daunt, F. and Stillman, R.A.","10.1111/brv.12272",NA,NA,NA,"Herbivory is a fundamental process that controls primary producer abundance and regulates energy and nutrient flows to higher trophic levels. Despite the recent proliferation of small-scale studies on herbivore effects on aquatic plants, there remains limited understanding of the factors that control consumer regulation of vascular plants in aquatic ecosystems. Our current knowledge of the regulation of primary producers has hindered efforts to understand the structure and functioning of aquatic ecosystems, and to manage such ecosystems effectively. We conducted a global meta-analysis of the outcomes of plantherbivore interactions using a data set comprised of 326 values from 163 studies, in order to test two mechanistic hypotheses: first, that greater negative changes in plant abundance would be associated with higher herbivore biomass densities; second, that the magnitude of changes in plant abundance would vary with herbivore taxonomic identity. We found evidence that plant abundance declined with increased herbivore density, with plants eliminated at high densities. Significant between-taxa differences in impact were detected, with insects associated with smaller reductions in plant abundance than all other taxa. Similarly, birds caused smaller reductions in plant abundance than echinoderms, fish, or molluscs. Furthermore, larger reductions in plant abundance were detected for fish relative to crustaceans. We found a positive relationship between herbivore species richness and change in plant abundance, with the strongest reductions in plant abundance reported for low herbivore species richness, suggesting that greater herbivore diversity may protect against large reductions in plant abundance. Finally, we found that herbivoreplant nativeness was a key factor affecting the magnitude of herbivore impacts on plant abundance across a wide range of species assemblages. Assemblages comprised of invasive herbivores and native plant assemblages were associated with greater reductions in plant abundance compared with invasive herbivores and invasive plants, native herbivores and invasive plants, native herbivores and mixed-nativeness plants, and native herbivores and native plants. By contrast, assemblages comprised of native herbivores and invasive plants were associated with lower reductions in plant abundance compared with both mixed-nativeness herbivores and native plants, and native herbivores and native plants. However, the effects of herbivoreplant nativeness on changes in plant abundance were reduced at high herbivore densities. Our mean reductions in aquatic plant abundance are greater than those reported in the literature for terrestrial plants, but lower than aquatic algae. Our findings highlight the need for a substantial shift in how biologists incorporate plantherbivore interactions into theories of aquatic ecosystem structure and functioning. Currently, the failure to incorporate top-down effects continues to hinder our capacity to understand and manage the ecological dynamics of habitats that contain aquatic plants.  2016 The Authors."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR13"
"Palacio.Lopez_2011_OIKO","Invasive plants do not display greater phenotypic plasticity than their native or non-invasive counterparts: a meta-analysis",2011,1,1,"OIKOS","",120,NA,"1393-1401","Palacio-Lopez, Kattia and Gianoli, Ernesto","10.1111/j.1600-0706.2010.19114.x",NA,NA,NA,"Phenotypic plasticity is commonly considered as a trait associated with invasiveness in alien plants because it may enhance the ability of plants to occupy a wide range of environments. Although the evidence of greater phenotypic plasticity in invasive plants is considerable, it is not yet conclusive. We used a meta-analysis approach to evaluate whether invasive plant species show greater phenotypic plasticity than their native or non-invasive counterparts. The outcome of such interspecific comparisons may be biased when phylogenetic relatedness is not taken into account. Consequently, species pairs belonged to the same genus, tribe or family. The meta-analysis included 93 records from 35 studies reporting plastic responses to light, nutrients, water, CO2, herbivory and support availability. Contrary to what is often assumed, overall, phenotypic plasticity was similar between invasive plants and native or non-invasive closely related species. The same result was found when separate analyses were conducted for trait plasticity to nutrients, light and water availability. Thus, invasive plant species and their native or non-invasive counterparts are equally capable of displaying functional responses to environmental heterogeneity. The colonization of a wide range of environments by invasive plants could be due to their capacity to undergo adaptive ecotypic differentiation rather than to their ability to display plastic responses. Alternatively, phenotypic plasticity might play a role in plant invasion, but only during the initial phases, when tolerance of the novel environment is essential for plant survival. Afterwards, once alien plants are identified as invaders, the magnitude of phenotypic plasticity might be reduced after selection of the optimum phenotypes in each habitat. The identification of plant traits that consistently predict invasiveness might be a futile task because different traits favor invasiveness in different environments. Approaches at the local scale, focusing on the ecology of specific invasive plants, could be more fruitful than global macro-analyses."," RAYYAN-INCLUSION: {""Alfredo""=>true}",4,"lnRR14"
"Liess_2004_ArcfurHyd","Invited review: Direct and indirect effects in herbivore - Periphyton interactions",2004,1,1,"Archiv fur Hydrobiologie","",159,NA,"433-453","Liess, A. and , Hillebr and , H.","10.1127/0003-9136/2004/0159-0433",NA,NA,NA,"In this article we review the indirect interactions prevailing in littoral communities and compare their importance to direct trophic interactions. We focus on the interaction between benthic algae and their herbivorous consumers, i. e. invertebrate grazers and herbivorous fish. In addition to the effects of grazers on periphyton biomass and production, we categorise and describe the types of indirect interactions observed and we present a quantitative meta-analysis to compare the effect magnitude of indirect and direct effects. Our review shows that herbivore-plant interactions comprise considerable complexity beyond consumption. We identify and review three different indirect interactions, which play important roles for periphyton-grazer interactions in benthic food webs. These are keystone predation, trophic cascading and habitat facilitation. Direct negative effects were stronger than indirect positive effect, because grazing leads in almost all studies to a decrease in algal biomass. We found positive effects of grazing on algal nutrient content, biomass-specific productivity and evenness. We found negative overall effects on species richness and area-specific productivity. Moreover, spatial heterogeneity was on average increased by grazing. The magnitudes of direct and indirect effects were often correlated."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR15"
"Lind_2013_EcolLett","Life-history constraints in grassland plant species: A growth-defence trade-off is the norm",2013,1,1,"Ecology Letters","1461-023X, 1461-023X",16,NA,"513-521","Lind, E.M. and Borer, E. and Seabloom, E. and Adler, P. and Bakker, J.D. and Blumenthal, D.M. and Crawley, M. and Davies, K. and Firn, J. and Gruner, D.S. and Stanley Harpole, W. and Hautier, Y. and , Hillebr and , H. and Knops, J. and Melbourne, B. and Mortensen, B. and Risch, A.C. and Schuetz, M. and Stevens, C. and Wragg, P.D.","10.1111/ele.12078",NA,NA,NA,"Plant growth can be limited by resource acquisition and defence against consumers, leading to contrasting trade-off possibilities. The competition-defence hypothesis posits a trade-off between competitive ability and defence against enemies (e.g. herbivores and pathogens). The growth-defence hypothesis suggests that strong competitors for nutrients are also defended against enemies, at a cost to growth rate. We tested these hypotheses using observations of 706 plant populations of over 500 species before and following identical fertilisation and fencing treatments at 39 grassland sites worldwide. Strong positive covariance in species responses to both treatments provided support for a growth-defence trade-off: populations that increased with the removal of nutrient limitation (poor competitors) also increased following removal of consumers. This result held globally across 4years within plant life-history groups and within the majority of individual sites. Thus, a growth-defence trade-off appears to be the norm, and mechanisms maintaining grassland biodiversity may operate within this constraint.  2013 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR16"
"Zvereva_2012_Oeco","Sources of variation in plant responses to belowground insect herbivory: A meta-analysis",2012,1,1,"Oecologia","0029-8549",169,NA,"441-452","Zvereva, E.L. and Kozlov, M.V.","10.1007/s00442-011-2210-y",NA,NA,NA,"Growing interest in belowground herbivory and the remarkable diversity of the accumulated information on this topic inspired us to quantitatively explore the variation in the outcomes of individual studies. We conducted a meta-analysis of 85 experimental studies reporting the effects of root-feeding insect herbivores (36 species) on plants (75 species). On average, belowground herbivory led to a 36.3% loss of root biomass, which was accompanied by a reduction in aboveground growth (-16.3%), photosynthesis (-11.7%) and reproduction (-15.5%). The effects of root herbivory on aboveground plant characteristics were significant in agricultural and biological control studies, but not in studies of natural systems. Experiments conducted in controlled environments yielded larger effects on plants than field experiments, and infestation experiments resulted in more severe effects than removal studies employing natural levels of herbivory. Simulated root herbivory led to greater aboveground growth reductions than similar root loss imposed by insect feeding. External root chewers caused stronger detrimental effects than sap feeders or root borers; specialist herbivores imposed milder adverse effects on plants than generalists. Woody plants suffered from root herbivory more than herbaceous plants, although root loss was similar in these two groups. Evergreen woody plants responded to root herbivory more strongly than deciduous woody plants, and grasses suffered from root herbivory more than herbs. Environmental factors such as drought, poor nutrient supply, among-plant competition, and aboveground herbivory increased the adverse effects of root damage on plants in an additive manner. In general, plant tolerance to root herbivores is lower than tolerance to defoliating aboveground herbivores.  2011 Springer-Verlag."," RAYYAN-INCLUSION: {""Alfredo""=>true}",3,"lnRR17"
"Norghauer_2012_MotTypEcoSigandConMet","The intriguing case of Steniscadia poliophaea (Noctuidae): Potent moth enemy of young mahoganytrees in Amazonian forests",2012,1,1,"Moths: Types, Ecological Significance and Control Methods",NA,NA,NA,"39-74","Norghauer, J.M. and Grogan, J.",NA,NA,NA,NA,"The super-family Noctuoidae is the most species-rich of Lepidoptera, and manyappear to be specialized herbivores. Yet little is known about their abundance andecological significance in diverse forests of the tropics. In this chapter we briefly reviewthese two aspects in the context of diversity maintenance (Janzen-Connell hypothesis),and present the case of the South American moth Steniscadia poliophaea. This speciesfeeds only on expanding leaf and stem tissues of seedlings and saplings of the prizedtimber tree, big-leaf mahogany (Swietenia macrophylla). We synthesize publishedresearch, observational reports, and anecdotal evidence about S. poliophaea's life history,ecology, and impact on host mahogany populations across southern Brazilian Amazonia.This moth plays an important role in suppressing the early recruitment and growth, andhence potential local dominance, of the fast-growing S. macrophylla. We doubt this mothplays a contributing role in structuring local adult densities of S. macrophylla in CentralAmerica and Mexico where it has not been reported to occur. We compare the ecologicalsignificance of S. poliophaea to the better known shoot-boring moth, Hypsipylagrandella (Pyralidae) that is a major pest in mahogany plantations throughout theNeotropics. Finally, we consider implications of these findings for host-competition andcontrol in the recovery and sustainable management of threatened S. macrophyllapopulations in logged and unlogged South American forests. Moth herbivores in general, and the Noctuoidae in particular, warrant further investigation as potential drivers ofJanzen-Connell effects on trees in species-rich tropical forests.  2012 by Nova Science Publishers, Inc. All rights reserved."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR18"
"Stahlheber_2013_BiolCons","Using livestock to manage plant composition: A meta-analysis of grazing in California Mediterranean grasslands",2013,1,1,"Biological Conservation","0006-3207 DO  - http://dx.doi.org/10.1016/j.biocon.2014.04.013",157,NA,"300-308","Stahlheber, K.A. and D'Antonio, C.M.","10.1016/j.biocon.2012.09.008",NA,NA,NA,"The use of livestock to manage vegetation composition has become a common element of conservation planning in many regions of the world. Similar to many arid and semi-arid grasslands throughout the world, California grasslands have a history of invasion by non-native grasses and forbs. Attempts to restore native plant populations using managed grazing are common, despite the lack of an overarching quantitative basis for assessing livestock effects on different plant groups. Given the wide range of soils, climate and topography over which grasslands are found, it is important to understand the context-dependency of grazing effects across a region. We performed a meta-analysis of livestock grazing within California grasslands to investigate the response of different plant groups to grazing relative to precipitation, grassland type, soil and grazing regime. We found that exotic forbs showed a dramatic, uniform increase in cover with grazing, but no increase in richness. By contrast, native forbs increased in richness yet their cover response was weak and variable depending on grazing regime and precipitation. Exotic grass cover was unaffected while richness was enhanced by grazing. Native grass cover generally increased with grazing, although the high variation among studies was not predicted by the explanatory variables we evaluated. These results lend support to the use of grazing to enhance native forb richness and native grass cover in some settings although this must be weighed against increases in the cover of exotic forbs.  2012 Elsevier Ltd."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR19"
"Chandrasekaran2014611","A meta-analysis of arbuscular mycorrhizal effects on plants grown under salt stress",2014,1,1,"Mycorrhiza","1432-1890",24,NA,"611-625",", Ch and rasekaran, M. and Boughattas, S. and Hu, S. and Oh, S.-H. and Sa, T.","10.1007/s00572-014-0582-7",NA,NA,NA,"Salt stress limits crop yield and sustainable agriculture in most arid and semiarid regions of the world. Arbuscular mycorrhizal fungi (AMF) are considered bio-ameliorators of soil salinity tolerance in plants. In evaluating AMF as significant predictors of mycorrhizal ecology, precise quantifiable changes in plant biomass and nutrient uptake under salt stress are crucial factors. Therefore, the objective of the present study was to analyze the magnitude of the effects of AMF inoculation on growth and nutrient uptake of plants under salt stress through meta-analyses. For this, data were compared in the context of mycorrhizal host plant species, plant family and functional group, herbaceous vs. woody plants, annual vs. perennial plants, and the level of salinity across 43 studies. Results indicate that, under saline conditions, AMF inoculation significantly increased total, shoot, and root biomass as well as phosphorous (P), nitrogen (N), and potassium (K) uptake. Activities of the antioxidant enzymes superoxide dismutase, catalase, peroxidase, and ascorbate peroxidase also increased significantly in mycorrhizal compared to nonmycorrhizal plants growing under salt stress. In addition, sodium (Na) uptake decreased significantly in mycorrhizal plants, while changes in proline accumulation were not significant. Across most subsets of the data analysis, identities of AMF (Glomus fasciculatum) and host plants (Acacia nilotica, herbs, woody and perennial) were found to be essential in understanding plant responses to salinity stress. For the analyzed dataset, it is concluded that under salt stress, mycorrhizal plants have extensive root traits and mycorrhizal morphological traits which help the uptake of more P and K, together with the enhanced production of antioxidant enzymes resulting in salt stress alleviation and increased plant biomass.  2014, Springer-Verlag Berlin Heidelberg."," RAYYAN-INCLUSION: {""Alfredo""=>true}",3,"lnRR20"
"Hoeksema2010394","A meta-analysis of context-dependency in plant response to inoculation with mycorrhizal fungi",2010,1,1,"Ecology Letters","1461-023X, 1461-023X",13,NA,"394-407","Hoeksema, J.D. and Chaudhary, V.B. and Gehring, C.A. and Johnson, N.C. and Karst, J. and Koide, R.T. and Pringle, A. and Zabinski, C. and Bever, J.D. and Moore, J.C. and Wilson, G.W.T. and Klironomos, J.N. and Umbanhowar, J.","10.1111/j.1461-0248.2009.01430.x",NA,NA,NA,"Mycorrhizal fungi influence plant growth, local biodiversity and ecosystem function. Effects of the symbiosis on plants span the continuum from mutualism to parasitism. We sought to understand this variation in symbiotic function using meta-analysis with information theory-based model selection to assess the relative importance of factors in five categories: (1) identity of the host plant and its functional characteristics, (2) identity and type of mycorrhizal fungi (arbuscular mycorrhizal vs. ectomycorrhizal), (3) soil fertility, (4) biotic complexity of the soil and (5) experimental location (laboratory vs. field). Across most subsets of the data, host plant functional group and N-fertilization were surprisingly much more important in predicting plant responses to mycorrhizal inoculation ('plant response') than other factors. Non-N-fixing forbs and woody plants and C4 grasses responded more positively to mycorrhizal inoculation than plants with N-fixing bacterial symbionts and C3 grasses. In laboratory studies of the arbuscular mycorrhizal symbiosis, plant response was more positive when the soil community was more complex. Univariate analyses supported the hypothesis that plant response is most positive when plants are P-limited rather than N-limited. These results emphasize that mycorrhizal function depends on both abiotic and biotic context, and have implications for plant community theory and restoration ecology.  2010 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR21"
"Hawkes2007832","Are invaders moving targets? The generality and persistence of advantages in size, reproduction, and enemy release in invasive plant species with time since introduction",2007,1,1,"American Naturalist","1537-5323",170,NA,"832-843","Hawkes, C.V.","10.1086/522842",NA,NA,NA,"Successful plant invasions are often attributed to increased plant size, reproduction, or release from natural enemies, but the generality and persistence of these patterns remains widely debated. Meta-analysis was used to quantitatively assess invasive plant performance and release from enemy damage and how these change with residence time and geographic distribution. Invasive plants were compared either in their introduced and home ranges or with native congeners in the introduced range. Invasive plants in the introduced range were generally larger, allocated more to reproduction, and had lower levels of herbivore damage compared with conspecifics in the home range; pathogen attack, however, varied widely. In congener comparisons, invasive and native plants did not differ in size or herbivory, but invaders did allocate less to reproduction and had lower levels of pathogen damage. Time since introduction was a significant nonlinear predictor of enemy release for both herbivores and pathogens, with initial release in recently arrived species and little to no release after 50 to 200 years. Geographic distribution was also a significant nonlinear predictor of enemy release. The observed nonlinear relationships are consistent with dynamic invasions and may define targets for eradication efforts if these patterns hold up for individual species.  2007 by The University of Chicago."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR22"
"Hungate20092020","Assessing the effect of elevated carbon dioxide on soil carbon: A comparison of four meta-analyses",2009,1,1,"Global Change Biology","1354-1013",15,NA,"2020-2034","Hungate, B.A. and van Groenigen, K.-J. and Six, J. and Jastrow, J.D. and Luo, Y. and de Graaff, M.-A. and van Kessel, C. and Osenberg, C.W.","10.1111/j.1365-2486.2009.01866.x",NA,NA,NA,"Soil is the largest reservoir of organic carbon (C) in the terrestrial biosphere and soil C has a relatively long mean residence time. Rising atmospheric carbon dioxide (CO2) concentrations generally increase plant growth and C input to soil, suggesting that soil might help mitigate atmospheric CO2 rise and global warming. But to what extent mitigation will occur is unclear. The large size of the soil C pool not only makes it a potential buffer against rising atmospheric CO2, but also makes it difficult to measure changes amid the existing background. Meta-analysis is one tool that can overcome the limited power of single studies. Four recent meta-analyses addressed this issue but reached somewhat different conclusions about the effect of elevated CO2 on soil C accumulation, especially regarding the role of nitrogen (N) inputs. Here, we assess the extent of differences between these conclusions and propose a new analysis of the data. The four meta-analyses included different studies, derived different effect size estimates from common studies, used different weighting functions and metrics of effect size, and used different approaches to address nonindependence of effect sizes. Although all factors influenced the mean effect size estimates and subsequent inferences, the approach to independence had the largest influence. We recommend that meta-analysts critically assess and report choices about effect size metrics and weighting functions, and criteria for study selection and independence. Such decisions need to be justified carefully because they affect the basis for inference. Our new analysis, with a combined data set, confirms that the effect of elevated CO2 on net soil C accumulation increases with the addition of N fertilizers. Although the effect at low N inputs was not significant, statistical power to detect biogeochemically important effect sizes at low N is limited, even with meta-analysis, suggesting the continued need for long-term experiments.  2009 Blackwell Publishing Ltd."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR23"
"Mntyl2011143","Birds help plants: A meta-analysis of top-down trophic cascades caused by avian predators",2011,1,1,"Oecologia","0029-8549",165,NA,"143-151","Mntyl, E. and Klemola, T. and Laaksonen, T.","10.1007/s00442-010-1774-2",NA,NA,NA,"The tritrophic interactions between plants, herbivores and avian predators are complex and prone to trophic cascades. We conducted a meta-analysis of original articles that have studied birds as predators of invertebrate herbivores, to compare top-down trophic cascades with different plant responses from different environments and climatic areas. Our search found 29 suitable articles, with a total of 81 separate experimental study set-ups. The meta-analysis revealed that plants benefited from the presence of birds. A significant reduction was observed in the level of leaf damage and plant mortality. The presence of birds also positively affected the amount of plant biomass, whereas effects on plant growth were negligible. There were no differences in the effects between agricultural and natural environments. Similarly, plants performed better in all climatic areas (tropical, temperate and boreal) when birds were present. Moreover, both mature plants and saplings gained benefits from the presence of birds. Our results show that birds cause top-down trophic cascades and thus they play an integral role in ecosystems.  2010 Springer-Verlag."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR24"
"Juliano2010325","Coexistence, exclusion, or neutrality? A meta-analysis of competition between Aedes albopictus and resident mosquitoes",2010,1,1,"Israel Journal of Ecology and Evolution","15659801 (ISSN)",56,NA,"325-351","Juliano, S.A.","10.1560/IJEE.55.3-4.325",NA,NA,NA,"Competition experiments estimating the relative effects of inter- and intraspecific competition can help to resolve whether interspecific competition results in coexistence or exclusion. For mosquitoes, most such experiments have focused on invasive Aedes albopictus and its interactions with resident Aedes. A meta-analysis of such experiments tested whether the effect of interspecific competition is greater than, less than, or equal to that of intraspecific competition, and whether competitive outcomes are dependent on food quality. For A. albopictus and A. aegypti, there was significant context dependence, with interspecific competitive advantage for A. albopictus with low food quality, and competitive equivalence with high food quality. Meta-analysis of survivorship yielded more significant effects than did estimated rate of increase. Competitive effects and competitive responses of each species yielded similar results. This meta-analysis suggests competitive exclusion of A. aegypti by A. albopictus, and is thus consistent with field sampling, qualitative reviews, and interpretations from individual publications. For A. albopictus and A. triseriatus, most results indicated competitive equivalence and no context dependence, and are thus contrary to previous qualitative reviews and to interpretations from individual publications. For both pairs of species, published results suitable for meta-analysis remain scarce, and better experimental designs and improved analysis and reporting of statistical results are needed. Greater emphasis needs to be placed on estimating species' inter- and intraspecific competitive effects, rather than the more common, but theoretically less interesting, competitive responses. Experiments without low-density controls (i.e., replacement series) are inadequate for comparing competitive effects and responses."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR25"
"Hauser2013623","Combined effects of arthropod herbivores and phytopathogens on plant performance",2013,1,1,"Functional Ecology","0269-8463",27,NA,"623-632","Hauser, T.P. and Christensen, S. and Heimes, C. and Kir, L.P.","10.1111/1365-2435.12053",NA,NA,NA,"Many plants are simultaneously attacked by arthropod herbivores and phytopathogens. These may affect each other directly and indirectly, enhancing or reducing the amount of plant resources they each consume. Ultimately, this may reduce or enhance plant performance relative to what should be expected from the added impacts of herbivore and pathogen when they attack alone. Previous studies have suggested synergistic and antagonistic impacts on plant performance from certain combinations of arthropods and pathogens, for example, synergistic impacts from necrotrophic pathogens together with wounding arthropods because of facilitated infection and antagonistic impacts from induction of pathogen resistance by sucking herbivores. We compiled published studies on the impact of plant-herbivore-pathogen interactions on plant performance and used meta-analysis to search for consistent patterns of impacts among plant, herbivore and pathogen characteristics and experimental conditions, and to test the suggested hypotheses on synergistic or antagonistic impacts. None of the hypotheses based on proximate interactions between arthropods and pathogens were supported by our analysis; in contrast, the patterns we found were related to plant traits and experimental conditions. Our results suggest that immediate loss of resources from interactions between arthropod herbivores and pathogens is generally moderated by compensation to an extent where there are no interactive effects on plant performance. However, as interactive impacts also differed among environments and parasite manipulation methods, this suggests that the ability of plants to compensate such losses may depend on environmental conditions and probably also overall infection load.  2013 The Authors. Functional Ecology  2013 British Ecological Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}",3,"lnRR26"
"Jacquet2012857","Defoliation by processionary moth significantly reduces tree growth: A quantitative review",2012,1,1,"Annals of Forest Science","1286-4560",69,NA,"857-866","Jacquet, J.-S. and Orazio, C. and Jactel, H.","10.1007/s13595-012-0209-0",NA,NA,NA,"Context Forests are important carbon sinks, but increasing temperatures may favour increases in insect populations, resulting in greater damage to trees. This, in turn, would lead to lower levels of carbon sequestration, intensifying global warming. & Aim It is therefore important to predict the impact of insect defoliation on tree growth accurately. The main insect defoliators of conifers in Southern Europe and North Africa are pine and cedar processionary moths (Lepidoptera, Thaumetopoeidae). & Method We conducted a meta-analysis based on 45 study cases, to estimate the effect of processionary moth defoliation on tree growth. & Result Overall, processionary moth defoliation had a significant impact on tree growth, regardless of the tree and moth species considered. Mean relative tree growth loss increased with the rate of defoliation levelling out at ca. 50 %; it was significantly larger for young than for old trees. & Conclusion These results suggest that estimates of processionary moth defoliation could easily be incorporated into tree growth models, to predict the effect of processionary moth outbreaks on carbon sequestration in Mediterranean forests.  INRA / Springer-Verlag France 2012."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR27"
"Junker2010777","Floral scents repel facultative flower visitors, but attract obligate ones",2010,1,1,"Annals of Botany","0305-7364",105,NA,"777-782","Junker, R.R. and Blthgen, N.","10.1093/aob/mcq045",NA,NA,NA,"Background and AimsBiological mutualisms rely on communication between partners, but also require protective measures against exploitation. Animal-pollinated flowers need to attract pollinators but also to avoid conflicts with antagonistic consumers. The view of flower visitors as mutualistic and antagonistic agents considers primarily the plants' interest. A classification emphasizing the consumer's point of view, however, may be more useful when considering animal's adaptations to flower visits which may include a tolerance against defensive floral scent compounds. MethodsIn a meta-analysis covering 18 studies on the responses of animals to floral scents, the animals were assigned to the categories of obligate and facultative flower visitors which considers their dependency on floral resources. Their responses on floral scents were compared. Key ResultsOn average, obligate flower visitors, often corresponding to pollinators, were attracted to floral scent compounds. In contrast, facultative and mainly antagonistic visitors were strongly repelled by floral scents. The findings confirm that floral scents have a dual function both as attractive and defensive cues. ConclusionsWhether an animal depends on floral resources determines its response to these signals, suggesting that obligate flower visitors evolved a tolerance against primarily defensive compounds. Therefore, floral scent bouquets in conjunction with nutritious rewards may solve the conflicting tasks of attracting mutualists while repelling antagonists.  The Author 2010. Published by Oxford University Press on behalf of the Annals of Botany Company. All rights reserved. For Permissions, please email: journals.permissionsoxfordjournals.org."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR28"
"Clarke20151309","Gender inequality in predispersal seed predation contributes to female seed set advantage in a gynodioecious species",2015,1,1,"Ecology","0012-9658",96,NA,"1309-1317","Clarke, G.L. and Brody, A.K. and Mitchell, R.J.","10.1890/14-1513.1",NA,NA,NA,"Most flowering plants are hermaphrodites. However, in gynodioecious species, some members of the population are male-sterile and reproduce only by setting seed, while others gain fitness through both male and female function. How females compensate for the loss of male function remains unresolved for most gynodioecious species. Here, as with many plants, fitness differences may be influenced by interactions with multiple species. However, whether multiple species interactions result in gender-specific fitness differences remains unknown. Using observational data from 2009-2010, we quantified seed set of the two sex morphs of Polemonium foliosissimum and asked how it is affected by pollination, and seed predation from a dipteran predispersal seed predator (Anthomyiidae: Hylemya sp.). We assessed seed production and losses to predation in 27 populations for one year and in six populations for a second year. Females set significantly more seed than did hermaphrodites in both years. Of the fitness components we assessed, including the number of flowers per plant, fruit set, seeds/fruit, and proportion of fruits destroyed by Hylemya, only fruit destruction differed significantly between the sexes. In one year, seeds/fruit and predation had a stronger effect on seed set for hermaphrodites than for females. Because predispersal seed predators do not pollinate flowers, their effects may depend on successful pollination of flowers on which they oviposit. To examine if genders differed in pollen limitation and seed predation and/or their interactive effects, in 2011 we hand-pollinated flowers and removed seed predator eggs in a fully factorial design. Both sexes were pollen limited, but their degree of pollen limitation did not differ. However, predation reduced seed set more for hermaphrodites than for females. We found no significant interaction between hand pollen and seed predation, and no interaction between hand pollination and gender. Our results suggest that while interactions with both pollinators and seed predators affect reproductive success, floral enemies can cause inequality in seed set between genders. The next step is to understand how the seed set advantage affects long-term fitness and persistence of females in gynodioecious populations.  2015 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR29"
