"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","studyID"
"Brown2018","Increased food supply mitigates ocean acidification effects on calcification but exacerbates effects on growth",2018,1,1,"Scientific Reports","2045-2322",8,NA,NA,"Brown, N.E.M. and Bernhardt, J.R. and Anderson, K.M. and Harley, C.D.G.","10.1038/s41598-018-28012-w","",NA,NA,"Because many of the negative effects of ocean acidification on marine life may result from underlying energetic short-falls associated with increased metabolic demands, several studies have hypothesized that negative responses to high CO2 could be reduced by energy input. Although this hypothesis was supported by a recent meta-analysis, we believe that the meta-analytic calculation used was not appropriate to test the stated hypothesis. Here, we first clarify the hypothesis put forward, the crux being that the effects of increased food supply and CO2 interact statistically. We then test this hypothesis by examining the available data in a more appropriate analytical framework. Using factorial meta-analysis, we confirm that food addition has a positive effect and CO2 has a negative effect on both growth and calcification. For calcification, food addition did indeed reduce CO2 impacts. Surprisingly, however, we found that food addition actually exacerbated the effects of acidification on growth, perhaps due to increased scope upon which CO2 effects can act in food-replete situations. These interactive effects were undetectable using a multilevel meta-analytic approach. Ongoing changes in food supply and carbonate chemistry, coupled with under-described, poorly understood, and potentially surprising interactive outcomes for these two variables, suggest that the role of food should remain a priority in ocean acidification research. Arising from: L. Ramajo et al., Sci. Rep. 6: 19374 (2016).  2018 The Author(s)."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch11"
"Burkepile20063128","Herbivore vs. nutrient control of marine primary producers: Context-dependent effects",2006,1,1,"Ecology","0012-9658",87,NA,"3128-3139","Burkepile, D.E. and Hay, M.E.","10.1890/0012-9658(2006)87[3128:HVNCOM]2.0.CO;2","",NA,NA,"Pervasive overharvesting of consumers and anthropogenic nutrient loading are changing the strengths of top-down and bottom-up forces in ecosystems worldwide. Thus, identifying the relative and synergistic roles of these forces and how they differ across habitats, ecosystems, or primary-producer types is increasingly important for understanding how communities are structured. We used factorial meta-analysis of 54 field experiments that orthogonally manipulated herbivore pressure and nutrient loading to quantify consumer and nutrient effects on primary producers in benthic marine habitats. Across all experiments and producer types, herbivory and nutrient enrichment both significantly affected primary-producer abundance. They also interacted to create greater nutrient enrichment effects in the absence of herbivores, suggesting that loss of herbivores produces more dramatic effects of nutrient loading. Herbivores consistently had stronger effects than did nutrient enrichment for both tropical macroalgae and seagrasses. The strong effects of herbivory but limited effects of nutrient enrichment on tropical macroalgae suggest that suppression of herbivore populations has played a larger role than eutrophication in driving the phase shift from coral- to macroalgal-dominated reefs in many areas, especially the Caribbean. For temperate macroalgae and benthic microalgae, the effects of top-down and bottom-up forces varied as a function of the inherent productivity of the ecosystem. For these algal groups, nutrient enrichment appeared to have stronger effects in high- vs. low-productivity systems, while herbivores exerted a stronger top-down effect in low-productivity systems. Effects of herbivores vs. nutrients also varied among algal functional groups (crustose algae, upright macroalgae, and filamentous algae), within a functional group between temperate and tropical systems, and according to the metric used to measure producer abundance. These analyses suggest that human alteration of food webs and nutrient availability have significant effects on primary producers but that the effects vary among latitudes and primary producers, and with the inherent productivity of ecosystems.  2006 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch12"
"Cadotte2006913","Dispersal and species diversity: A meta-analysis",2006,1,1,"American Naturalist","1537-5323",167,NA,"913-924","Cadotte, M.W.","10.1086/504850","",NA,NA,"Species diversity in communities of interacting organisms is thought to be enhanced by dispersal, yet mechanisms predicting this have little to say about what effects differing rates of dispersal have on diversity and how dispersal affects diversity at larger spatial scales. 1 performed meta-analyses on 23 studies comprising 50 experiments that manipulated species migration and measured community richness or diversity to test three hypotheses: that dispersal increases local diversity; that this effect depends on the rate of dispersal, specifically, that local diversity should he maximized at intermediate dispersal rates or else linearly related to dispersal rate; and that regional diversity may be either unaffected or negatively impacted by dispersal because dispersal tends to homogenize local communities. I found that immigration increased local diversity. Further, in animal studies, diversity appears maximized at intermediate dispersal rates but not with plant studies; however, more standardized studies are needed. Finally, results are ambiguous as to what happens at larger scales, with studies finding either declines or no change in regional diversity with dispersal. Taken together, these results reveal that dispersal has a complex, spatially contingent relationship with patterns of species diversity.  2006 by The University of Chicago."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch13"
"Cadotte20121153","Gauging the impact of meta-analysis on ecology",2012,1,1,"Evolutionary Ecology","0269-7653",26,NA,"1153-1167","Cadotte, M.W. and Mehrkens, L.R. and Menge, D.N.L.","10.1007/s10682-012-9585-z","",NA,NA,"Meta-analyses are an increasingly used set of statistical tools that allow for data from multiple studies to be drawn together allowing broader, more generalizable conclusions. The extent to which the increase in the number of meta-analyses in ecology, relative to other types of papers, has influenced how questions are asked and the current state of knowledge has not been assessed before. Here, we gauge the impact of meta-analyses in ecology quantitatively and qualitatively. For the quantitative assessment, we conducted an analysis of 240 published meta-analyses to examine trends in ecological meta-analyses. Our examination shows that publication rates of meta-analyses in ecology have increased through time, and that more recent meta-analyses have been more comprehensive, including more studies and a greater temporal range of studies. Meta-analyses in ecology are the result of larger collaborations with meta-analyses being authored by larger teams than other studies, and those funded by collaborative centers have even larger collaborations. These larger collaborations result in a larger scope and scale of the analyses-by using more papers, datasets, species and years of data. Qualitatively, we discuss three examples: the strength of competition, the nature of how biodiversity affects ecosystem function, and the response of species to global climate change, where meta-analyses supplied the critical evaluation of accepted ecological explanations. As scientific criticism and controversy mount, the true power of meta-analyses is to serve as the capstone evidence supporting the validity of an explanation and to possibly herald the shift to other potential explanations.  2012 Springer Science+Business Media B.V."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch14"
"Chase2002302","The interaction between predation and competition: A review and synthesis",2002,1,1,"Ecology Letters","1461-023X, 1461-023X",5,NA,"302-315","Chase, J.M. and Abrams, P.A. and Grover, J.P. and Diehl, S. and Chesson, P. and Holt, R.D. and Richards, S.A. and Nisbet, R.M. and Case, T.J.","10.1046/j.1461-0248.2002.00315.x","",NA,NA,"This review discusses the interface between two of the most important types of interactions between species, interspecific competition and predation. Predation has been claimed to increase, decrease, or have little effect on, the strength, impact or importance of interspecific competition. There is confusion about both the meaning of these terms and the likelihood of, and conditions required for, each of these outcomes. In this article we distinguish among three measures of the influence of predation on competitive outcomes: Short-term per capita consumption or growth rates, long-term changes in density, and the probability of competitive coexistence. We then outline various theoretical mechanisms that can lead to qualitatively distinct effects of predators. The qualitative effect of predators can depend both on the mechanism of competition and on the definition of competitive strength/impact. In assessing the empirical literature, we ask: (1) What definitions of competitive strength/impact have been assumed? (2) Does strong evidence exist to support one or more of the possible mechanisms that can produce a given outcome? (3) Do biases in the choice of organism or manipulation exist, and are they likely to have influenced the conclusions reached? We conclude by discussing several unanswered questions, and espouse a stronger interchange between empirical and theoretical approaches to this important question."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch15"
"Chivenge20111","Does the combined application of organic and mineral nutrient sources influence maize productivity? A meta-analysis",2011,1,1,"Plant and Soil","0032-079X",342,NA,"Jan-30","Chivenge, P. and Vanlauwe, B. and Six, J.","10.1007/s11104-010-0626-5","",NA,NA,"The combined application of organic resources (ORs) and mineral fertilizers is increasingly gaining recognition as a viable approach to address soil fertility decline in sub-Saharan Africa (SSA). We conducted a meta-analysis to provide a comprehensive and quantitative synthesis of conditions under which ORs, N fertilizers, and combined ORs with N fertilizers positively or negatively influence Zea mays (maize) yields, agronomic N use efficiency and soil organic C (SOC) in SSA. Four OR quality classes were assessed; classes I (high quality) and II (intermediate quality) had >2.5% N while classes III (intermediate quality) and IV (low quality) had <2.5% N and classes I and III had <4% polyphenol and <15% lignin. On the average, yield responses over the control were 60%, 84% and 114% following the addition of ORs, N fertilizers and ORs + N fertilizers, respectively. There was a general increase in yield responses with increasing OR quality and OR-N quantity, both when ORs were added alone or with N fertilizers. Surprisingly, greater OR residual effects were observed with high quality ORs and declined with decreasing OR quality. The greater yield responses with ORs + N fertilizers than either resource alone were mostly due to extra N added and not improved N utilization efficiency because negative interactive effects were, most often, observed when combining ORs with N fertilizers. Additionally, their agronomic N use efficiency was not different from sole added ORs but lower than N fertilizers added alone. Nevertheless, positive interactive effects were observed in sandy soils with low quality ORs whereas agronomic use efficiency was greater when smaller quantities of N were added in all soils. Compared to sole added ORs, yield responses for the combined treatment increased with decreasing OR quality and greater yield increases were observed in sandy (68%) than clayey soils (25%). While ORs and ORs + N fertilizer additions increased SOC by at least 12% compared to the control, N fertilizer additions were not different from control suggesting that ORs are needed to increase SOC. Thus, the addition of ORs will likely improve nutrient storage while crop yields are increased and more so for high quality ORs. Furthermore, interactive effects are seldom occurring, but agronomic N use efficiency of ORs + N fertilizers were greater with low quantities of N added, offering potential for increasing crop productivity.  The Author(s) 2010."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch16"
"Crain20081304","Interactive and cumulative effects of multiple human stressors in marine systems",2008,1,1,"Ecology Letters","1461-023X, 1461-023X",11,NA,"1304-1315","Crain, C.M. and Kroeker, K. and Halpern, B.S.","10.1111/j.1461-0248.2008.01253.x","",NA,NA,"Humans impact natural systems in a multitude of ways, yet the cumulative effect of multiple stressors on ecological communities remains largely unknown. Here we synthesized 171 studies that manipulated two or more stressors in marine and coastal systems and found that cumulative effects in individual studies were additive (26%), synergistic (36%), and antagonistic (38%). The overall interaction effect across all studies was synergistic, but interaction type varied by response level (community: antagonistic, population: synergistic), trophic level (autotrophs: antagonistic, heterotrophs: synergistic), and specific stressor pair (seven pairs additive, three pairs each synergistic and antagonistic). Addition of a third stressor changed interaction effects significantly in two-thirds of all cases and doubled the number of synergistic interactions. Given that most studies were performed in laboratories where stressor effects can be carefully isolated, these three-stressor results suggest that synergies may be quite common in nature where more than two stressors almost always coexist. While significant gaps exist in multiple stressor research, our results suggest an immediate need to account for stressor interactions in ecological studies and conservation planning.  2008 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch17"
"Cudlin2007406","Fine roots and ectomycorrhizas as indicators of environmental change",2007,1,1,"Plant Biosystems","1126-3504",141,NA,"406-425","Cudlin, P. and Kieliszewska-Rokicka, B. and Rudawska, M. and Grebenc, T. and Alberton, O. and Lehto, T. and Bakker, M.R. and Brja, I. and Konpka, B. and Leski, T. and Kraigher, H. and Kuyper, T.W.","10.1080/11263500701626028","",NA,NA,"Human-induced and natural stress factors can affect fine roots and ectomycorrhizas. Therefore they have potential utility as indicators of environmental change. We evaluated, through meta-analysis, the magnitude of the effects of acidic deposition, nitrogen deposition, increased ozone levels, elevated atmospheric carbon dioxide, and drought on fine roots and ectomycorrhizal (ECM) characteristics. Ectomycorrhizal colonization was an unsuitable parameter for environmental change, but fine root length and biomass could be useful. Acidic deposition had a significantly negative impact on fine roots, root length being more sensitive than root biomass. There were no significant effects of nitrogen deposition or elevated tropospheric ozone on the quantitative root parameters. Elevated CO2 had a significant positive effect. Drought had a significantly negative effect on fine root biomass. The negative effect of acidic deposition and the positive effect of elevated CO2 increased over time, indicating that effects were persistent contrary the other factors. The meta-analysis also showed that experimental conditions, including both laboratory and field experiments, were a major source of variation. In addition to quantitative changes, environmental changes affect the species composition of the ectomycorrhizal fungal community.  2007 Societ Botanica Italiana."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch18"
"Dormann20024","Climate change in the Arctic: Using plant functional types in a meta-analysis of field experiments",2002,1,1,"Functional Ecology","0269-8463",16,NA,"Apr-17","Dormann, C.F. and Woodin, S.J.","10.1046/j.0269-8463.2001.00596.x","",NA,NA,"1. The effects of global climate change are predicted to be strongest in the Arctic. This, as well as the suitability of tundra as a simple model ecosystem, has led to many field experiments investigating consequences of simulated environmental change. 2. On the basis of 36 experiments reviewed here, minor light attenuation by clouds, small changes in precipitation, and increases in UV-B radiation and atmospheric CO2 concentrations will not affect arctic plants in the short term. However, temperature elevation, increases in nutrient availability and major decreases in light availability will cause an immediate plant-growth response and alter nutrient cycling, possibly creating positive feedbacks on plant biomass. The driver of future change in arctic vegetation is likely to be increased nutrient availability, arising for example from temperature-induced increases in mineralization. 3. Arctic plant species differ widely in their response to environmental manipulations. Classification into plant functional types proved largely unsatisfactory for generalization of responses and predictions of effects. 4. Nevertheless, a few generalizations and consistent differences between PFTs were detected. Responses to fertilization were the strongest, particularly in grasses. Shrubs and grasses were most responsive to elevated temperature. 5. Future studies should focus on interactive effects of environmental factors, investigate long-term responses to manipulations, and incorporate interactions with other trophic levels. With respect to plant functional types, a new approach is advocated, which groups species according to their responses to environmental manipulations."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch19"
"Ebensperger20121013","Direct fitness of group living mammals varies with breeding strategy, climate and fitness estimates",2012,1,1,"Journal of Animal Ecology","218790",81,NA,"1013-1023","Ebensperger, L.A. and Rivera, D.S. and Hayes, L.D.","10.1111/j.1365-2656.2012.01973.x","",NA,NA,"Understanding how variation in fitness relates to variation in group living remains critical to determine whether this major aspect of social behaviour is currently adaptive. Available evidence in social mammals aimed to examine this issue remains controversial. Studies show positive (i.e. potentially adaptive), neutral or even negative fitness effects of group living. Attempts to explain this variation rely on intrinsic and extrinsic factors to social groups. Thus, relatively more positive fitness effects are predicted in singularly breeding as opposed to plural breeding species. Fitness effects of sociality in turn may depend on ecological conditions (i.e. extrinsic factors) that influence associated benefits and costs. We used meta-analytic tools to review how breeding strategy or ecological conditions influence the effect size associated with direct fitness-sociality relationships reported in the mammalian literature. Additionally, we determined how taxonomic affiliation of species studied, different fitness and sociality measures used, and major climatic conditions of study sites explained any variation in direct fitness effect size. We found group living had modest, yet positive effects on direct fitness. This generally adaptive scenario was contingent not only upon breeding strategy and climate of study sites, but also on fitness measures examined. Thus, positive and significant effects characterized singular as opposed to plural breeding strategies. 6.We found more positive fitness effects on studies conducted in tropical as opposed to temperate or arid climates. More positive and significant effects were noted on studies that relied on group fecundity, male fecundity and offspring survival as measures of fitness. 7.To conclude, direct fitness consequences of mammalian group living are driven by interspecific differences in breeding strategy and climate conditions. Other factors not examined in this study, namely individual variation in direct and indirect fitness benefits and potential interactions between social and ecological conditions, may be important and require further studies.  2012 The Authors. Journal of Animal Ecology  2012 British Ecological Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch20"
