key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
Lekberg20181268,"Relative importance of competition and plantsoil feedback, their synergy, context dependency and implications for coexistence",2018,1,1,Ecology Letters,"1461-023X, 1461-023X",21,,1268-1281,"Lekberg, Y. and Bever, J.D. and Bunn, R.A. and Callaway, R.M. and Hart, M.M. and Kivlin, S.N. and Klironomos, J. and Larkin, B.G. and Maron, J.L. and Reinhart, K.O. and Remke, M. and van der Putten, W.H.",10.1111/ele.13093,,,,"Plants interact simultaneously with each other and with soil biota, yet the relative importance of competition vs. plantsoil feedback (PSF) on plant performance is poorly understood. Using a meta-analysis of 38 published studies and 150 plant species, we show that effects of interspecific competition (either growing plants with a competitor or singly, or comparing inter- vs. intraspecific competition) and PSF (comparing home vs. away soil, live vs. sterile soil, or control vs. fungicide-treated soil) depended on treatments but were predominantly negative, broadly comparable in magnitude, and additive or synergistic. Stronger competitors experienced more negative PSF than weaker competitors when controlling for density (inter- to intraspecific competition), suggesting that PSF could prevent competitive dominance and promote coexistence. When competition was measured against plants growing singly, the strength of competition overwhelmed PSF, indicating that the relative importance of PSF may depend not only on neighbour identity but also density. We evaluate how competition and PSFs might interact across resource gradients; PSF will likely strengthen competitive interactions in high resource environments and enhance facilitative interactions in low-resource environments. Finally, we provide a framework for filling key knowledge gaps and advancing our understanding of how these biotic interactions influence community structure.  2018 John Wiley & Sons Ltd/CNRS"," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Mntyl2011143,Birds help plants: A meta-analysis of top-down trophic cascades caused by avian predators,2011,1,1,Oecologia,0029-8549,165,,143-151,"Mntyl, E. and Klemola, T. and Laaksonen, T.",10.1007/s00442-010-1774-2,,,,"The tritrophic interactions between plants, herbivores and avian predators are complex and prone to trophic cascades. We conducted a meta-analysis of original articles that have studied birds as predators of invertebrate herbivores, to compare top-down trophic cascades with different plant responses from different environments and climatic areas. Our search found 29 suitable articles, with a total of 81 separate experimental study set-ups. The meta-analysis revealed that plants benefited from the presence of birds. A significant reduction was observed in the level of leaf damage and plant mortality. The presence of birds also positively affected the amount of plant biomass, whereas effects on plant growth were negligible. There were no differences in the effects between agricultural and natural environments. Similarly, plants performed better in all climatic areas (tropical, temperate and boreal) when birds were present. Moreover, both mature plants and saplings gained benefits from the presence of birds. Our results show that birds cause top-down trophic cascades and thus they play an integral role in ecosystems.  2010 Springer-Verlag."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Katz_2016_Oeco,The effects of invertebrate herbivores on plant population growth: a meta-regression analysis,2016,1,1,Oecologia,0029-8549,182,,43-53,"Katz, D.S.W.",10.1007/s00442-016-3602-9,,,,"Over the last two decades, an increasing number of studies have quantified the effects of herbivory on plant populations using stage-structured population models and integral projection models, allowing for the calculation of plant population growth rates () with and without herbivory. In this paper, I assembled 29 studies and conducted a meta-regression to determine the importance of invertebrate herbivores to population growth rates () while accounting for missing data. I found that invertebrate herbivory often induced important reductions in plant population growth rates (with herbivory,  was 1.080.36; without herbivory,  was 1.280.58). This relationship tended to be weaker for seed predation than for other types of herbivory, except when seed predation rates were very high. Even so, the amount by which studies reduced herbivory was a poor predictor of differences in population growth rateswhich strongly cautions against using measured herbivory rates as a proxy for the impact of herbivores. Herbivory reduced plant population growth rates significantly more when potential growth rates were high, which helps to explain why there was less variation in actual population growth rates than in potential population growth rates. The synthesis of these studies also shows the need for future studies to report variance in estimates of  and to quantify how  varies as a function of plant density.  2016, Springer-Verlag Berlin Heidelberg."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Massad_2013_Oeco,"Ontogenetic differences of herbivory on woody and herbaceous plants: A meta-analysis demonstrating unique effects of herbivory on the young and the old, the slow and the fast",2013,1,1,Oecologia,0029-8549,172,,1-10,"Massad, T.J.",10.1007/s00442-012-2470-1,,,,"The effect of herbivory on plant performance is the subject of a large number of ecological studies, and plant responses to herbivory range from reduced reproduction to overcompensation. Because plant defenses, stored resources, and allocation demands change throughout a plant's lifetime, it can be hypothesized the effects of herbivory also vary with development. The present work extends previous analyses to incorporate hundreds of studies in a new meta-analysis addressing this topic. Herbivores had an overall negative effect on plant growth and reproduction, and, in contrast to a previous meta-analysis, this work shows the timing of herbivory is relevant. Differences in the effects of herbivory between life stages existed for woody plant reproduction and perennial herb growth. In addition, tree and shrub growth was reduced by herbivore damage at early ontogenetic stages, and perennial herb reproduction was limited by adult stage herbivory. These results partially support the continuum of an ontogenetic response model. Finally, consideration of this synthesis in conjunction with other work led to the conclusion that different plant groups optimize their defense investments in unique ways. Slow-growing plants may strongly chemically defend young tissues, supporting the plant-age hypothesis, because early herbivory is detrimental to growth. Faster-growing herbs may invest more in antiherbivore defense when they are older, supporting the growth-differentiation balance hypothesis, because later herbivory limits their reproduction.  2012 Springer-Verlag."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Schaeffer_2013_EcolLett,Effects of abiotic factors and species interactions on estimates of male plant function: A meta-analysis,2013,1,1,Ecology Letters,"1461-023X, 1461-023X",16,,399-408,"Schaeffer, R.N. and Manson, J.S. and Irwin, R.E.",10.1111/ele.12044,,,,"The majority of angiosperms are hermaphroditic with total fitness comprised of both male and female components of reproduction. However, most studies examining the effects of abiotic factors and species interactions on fitness have focussed on female reproduction, potentially biasing our understanding of the consequences of environmental factors on total fitness. Here, we use meta-analysis to test how environmental factors affect male function. We obtained 278 effect sizes from 96 studies that measured male function responses to manipulated environmental factors. We found significant effects of abiotic factors and species interactions on estimates of male function, with responses varying depending on environmental factor identity. Male and female responses were correlated for abiotic factor manipulations, but varied based on the type of species interaction (antagonistic or mutualistic). This suggests that measuring only female function may misrepresent whole-plant reproduction depending on context. Finally, we found differences amongst components of male function in response to environmental factors, suggesting that some male function estimates may fail to capture the effects of environmental factors on male fitness. Our results demonstrate the importance of incorporating male function into ecological and evolutionary studies to provide a more accurate understanding of the effects of environmental factors on total fitness.  2012 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}"
Seabloom_2018_Ecol,No evidence for trade-offs in plant responses to consumer food web manipulations,2018,1,1,Ecology,0012-9658,99,,1953-1963,"Seabloom, E.W. and Borer, E.T. and Kinkel, L.L.",10.1002/ecy.2389,,,,"Plants face a range of trade-offs as they attempt to maximize their fitness within a complex web composed of competitors, mutualists, and herbivores. In addition to growthdefense and competitiondefense trade-offs, plants must balance their response to a wide range of potential enemies including pathogens and vertebrate and invertebrate herbivores. We tested for trade-offs in plant species responses to different types of consumers using a foodweb manipulation experiment in which we selectively excluded large vertebrate herbivores and removed foliar fungi, soil fungi, and insects from natural and experimentally planted grassland communities. We found no evidence for trade-offs in the ability of plants to defend themselves against different sets of consumers, although plants varied widely in their responses to removal of different consumer groups. In addition, the species-level responses to consumer removal in monoculture were uncorrelated with each species response in more diverse communities, highlighting the important role of local context (e.g., competition and apparent competition) in determining the effects of consumers. Plants must balance their allocation of energy among a wide variety of tasks including growing, competing for limited resources, and defending themselves against an array of potential enemies. We found that while plant species differed greatly in their response to the removal of consumers, species that were susceptible to the effects of one consumer group (e.g., insect herbivores) also were susceptible to other consumer groups (e.g., fungal pathogens). This suggests that plants differ in their overall allocation to defense, but defense investment can proffer protection against a wide array of natural enemies. We also found that plant responses to consumers depended on the diversity of the surrounding plant community, suggesting that among-plant interactions can alter their susceptibility to the impacts of consumers.  2018 by the Ecological Society of America"," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Stephens_2013_EcolEnto,"Influences of two life-history stages of the weevil, Larinus minutus, on its host plant Centaurea diffusa",2013,1,1,Ecological Entomology,0307-6946,38,,40-48,"Stephens, A.E.A. and Myers, J.H.",10.1111/j.1365-2311.2012.01403.x,,,,"We hypothesised that, for weed biological control, using species that feed as both adults and larvae would be advantageous. Here, we test the impacts of adult and larval feeding of Larinus minutus (Col.: Curculionidae), a successful biological control agent of diffuse knapweed, Centaurea diffusa (Asteraceae), in British Columbia, Canada. At one site, the observations of the present study showed that the intensity of adult weevil feeding did not predict the level of larval attack. Experiments found no evidence for plant-mediated competition between the life-history stages. At two sites and in two years, experimental manipulations of adult and/or larval feeding damage were conducted and plant performance measured. Neither antagonistic nor synergistic interactions occurred, but at each of the two sites a different life-history stage was responsible for reduction in the number of seeds produced by the plants. Although one of the two different feeding modes was redundant at each site, the ability of adults and larvae to reduce plant performance in different areas makes the species effective in a wider range of environments.  2013 The Royal Entomological Society."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Aguilera2011,No accession-specific effect of rhizosphere soil communities on the growth and competition of arabidopsis thaliana accessions,2011,1,1,PLoS ONE,,6,,NA,"Aguilera, A.G. and Coln-Carmona, A. and Kesseli, R. and Dukes, J.S.",10.1371/journal.pone.0027585,,,,"Soil communities associated with specific plant species affect individual plants' growth and competitive ability. Limited evidence suggests that unique soil communities can also differentially influence growth and competition at the ecotype level. Previous work with Arabidopsis thaliana has shown that accessions produce distinct and reproducible rhizosphere bacterial communities, with significant differences in both species composition and relative abundance. We tested the hypothesis that soil communities uniquely affect the growth and reproduction of the plant accessions with which they are associated. Specifically, we examined the growth of four accessions when exposed to their own soil communities and the communities generated by each of the other three accessions. To do this we planted focal accessions inside a ring of six plants that created a ""background"" soil community. We grew focal plants in this design in three separate soil treatments: non-sterile soil, sterilized soil, and ""preconditioned"" soil. We preconditioned soil by growing accessions in non-sterile soil for six weeks before the start of the experiment. The main experiment was harvested after seven weeks of growth and we recorded height, silique number, and dry weight of each focal plant. Plants grown in the preconditioned soil treatment showed less growth relative to the non-sterile and sterile soil treatments. In addition, plants in the sterile soil grew larger than those in non-sterile soil. However, we saw no interaction between soil treatment and background accession. We conclude that the soil communities have a negative net impact on Arabidopsis thaliana growth, and that the unique soil communities associated with each accession do not differentially affect growth and competition of study species.  2011 Aguilera et al. This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Aguilera2017359,Effect of plantsoil feedbacks on the growth and competition of Lactuca species,2017,1,1,Plant Ecology,1385-0237,218,,359-372,"Aguilera, A.G. and Morey, S. and Gammon, M. and Jiang, M. and Ramos, S. and Kesseli, R.",10.1007/s11258-016-0697-3,,,,"Plant species generate specific soil communities that feedback on plant growth and competition. These feedbacks have been implicated in plant community composition and dispersion. We used Lactuca sativa and its wild progenitor Lactuca serriola to test the hypotheses that separate Lactuca species generate unique soil communities and that these soil communities differentially influence host, and neighboring, plant growth and competition. We grew each Lactuca in competition with the other, in sterile and non-sterile soils. We then examined the growth of each Lactuca species in sterile, non-sterile, and preconditioned soil. Finally, we used TRFLP techniques to explore whether the two Lactuca species generate significantly different bacterial communities in their rhizosphere soils. L. sativa proved to be the stronger competitor of the two species. However, sterilization increased the competitive effect of L. serriola background competitors. The growth experiment showed a significant effect on plant species, soil treatment, and the interaction of the two. Preconditioning soil caused reduced growth in both Lactuca species. Only L. serriola showed significantly increased growth in sterile soils. Our TRFLP analysis showed that the L. sativa soil community was significantly less diverse and that soil preconditioning had the largest impact on the community composition. These results show that Lactuca serriolas rhizosphere communities generate a stronger negative feedback for plant growth than do the communities associated with L. sativa. Our study suggests that selection for plants that are able to grow in dense monoculture may have released Lactuca from species-specific negative soil feedbacks. This has important implications for both agriculture and the evolution of invasive plant species.  2017, Springer Science+Business Media Dordrecht."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Alba.Lynn2010291,Potential for ants and vertebrate predators to shape seed-dispersal dynamics of the invasive thistles Cirsium arvense and Carduus nutans in their introduced range (North America),2010,1,1,Plant Ecology,1385-0237,210,,291-301,"Alba-Lynn, C. and Henk, S.",10.1007/s11258-010-9757-2,,,,"The population dynamics of invasive plants are influenced by positive and negative associations formed with members of the fauna present in the introduced range. For example, mutualistic associations formed with pollinators or seed dispersers may facilitate invasion, but reduced fitness from attack by native herbivores can also suppress it. Since population expansion depends on effective seed dispersal, interactions with seed dispersers and predators in a plant species introduced range may be of particular importance. We explored the relative contributions of potential seed dispersers (ants) and vertebrate predators (rodents and birds) to seed removal of two diplochorous (i.e., wind- and ant-dispersed), invasive thistles, Cirsium arvense and Carduus nutans, in Colorado, USA. We also conducted behavior trials to explore the potential of different ant species to disperse seeds, and we quantified which potential ant dispersers were prevalent at our study locations. Both ants and vertebrate predators removed significant amounts of C. arvense and C. nutans seed, with the relative proportion of seed removed by each guild varying by location. The behavior trials revealed clear seed preferences among three ant species as well as differences in the foragers' abilities to move seeds. In addition, two ant species that acted as potential dispersal agents were dominant at the study locations. Since local conditions in part determined whether dispersers or predators removed more seed, it is possible that some thistle populations benefit from a net dispersal effect, while others suffer proportionally more predation. Additionally, because the effectiveness of potential ant dispersers is taxon-specific, changes in ant community composition could affect the seed-dispersal dynamics of these thistles. Until now, most studies describing dispersal dynamics in C. arvense and C. nutans have focused on primary dispersal by wind or pre-dispersal seed predation by insects. Our findings suggest that animal-mediated dispersal and post-dispersal seed predation deserve further consideration.  2010 Springer Science+Business Media B.V."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
Andersson20161175,Plant patch structure influences plant fitness via antagonistic and mutualistic interactions but in different directions,2016,1,1,Oecologia,0029-8549,180,,1175-1182,"Andersson, P. and Ehrln, J. and Hambck, P.A.",10.1007/s00442-015-3532-y,,,,"Plant patch structure and environmental context can influence the outcome of antagonistic and mutualistic plantinsect interactions, leading to spatially variable fitness effects for plants. We investigated the effects of herbivory and pollen limitation on plant reproductive performance in 28 patches of the self-compatible perennial herb Scrophularia nodosa and assessed how such effects varied with plant patch size, plant density and tree cover. Both antagonistic and mutualistic interactions had strong effects on plant reproductive performance. Leaf feeding from herbivores reduced both fruit production and seed germination, and leaf herbivory increased with plant patch size. Experimentally hand-pollinated flowers produced more seeds than open-pollinated flowers, and pollen limitation was more severe in patches with fewer plants. Our study on S. nodosa is one of few which documents that plant patch structure influences the outcome of both antagonistic and mutualistic plantinsect interactions. The results thus provide an example of how variation in plant patch structure and environmental factors can lead to spatially variable fitness effects from mutualistic and antagonistic interactions.  2015, Springer-Verlag Berlin Heidelberg."," RAYYAN-INCLUSION: {""Alfredo""=>false} | RAYYAN-EXCLUSION-REASONS: not meta-analysis"
