"label","title","author","journal","issn","volume","pages","year","doi","abstract","duplicate_group","n_duplicates"
"Araminiene_2017_IFOANDFOR","Response of artificially defoliated Betula pendula seedlings to additional soil nutrient supply","Araminiene, Valda and Varnagiryte-Kabasinskiene, Iveta and Stakenas, Vidas","IFOREST-BIOGEOSCIENCES AND FORESTRY","1971-7458","10","281-287","2017","10.3832/ifor2086-009","The impact of leaf damage on the growth of young silver birch seedlings with and without additional nutrient supply was investigated by simulating leaf-insect damage and applying different levels (25\%, 50\% and 75\%) of artificial defoliation. Based on field-practical and cost-effective methods, we determined how fertilization practices compensate for foliage loss, and the combined effect on silver birch seedling growth. The mineral fertilizers applied to the 25-75\%-defoliated silver birch seedlings reduced the growth in aboveground biomass compared to the fertilized but undamaged seedlings. Our results showed that when the birch seedlings received more nutrients they did not compensate for the loss of foliar mass. However, the seedlings loosing part of their foliar mass and receiving no additional fertilizers did compensate for the foliage loss and their root growth was not weakened, using soil nutrients more effectively. Mineral fertilization up to optimal nutritional balance could be a beneficial tool for increasing growth rate and biomass accumulation in the short-term period. However, our study demonstrated that additional fertilization does not necessarily lead to growth compensation of partly defoliated young birch trees.",11,1
"Araminiene_2017_IFor","Response of artificially defoliated betula pendula seedlings to additional soil nutrient supply","Araminiene, V. and Varnagiryte-Kabainskiene, I. and Stakenas, V.","IForest","19717458","10","281-287","2017","10.3832/ifor2086-009","The impact of leaf damage on the growth of young silver birch seedlings with and without additional nutrient supply was investigated by simulating leaf-insect damage and applying different levels (25%, 50% and 75%) of artificial defoliation. Based on field-practical and cost-effective methods, we determined how fertilization practices compensate for foliage loss, and the combined effect on silver birch seedling growth. The mineral fertilizers applied to the 25-75%-defoliated silver birch seedlings reduced the growth in above ground biomass compared to the fertilized but undamaged seedlings. Our results showed that when the birch seedlings received more nutrients they did not compensate for the loss of foliar mass. However, the seedlings loosing part of their foliar mass and receiving no additional fertilizers did compensate for the foliage loss and their root growth was not weakened, using soil nutrients more effectively. Mineral fertilization up to optimal nutritional balance could be a beneficial tool for increasing growth rate and biomass accumulation in the short-term period. However, our study demonstrated that additional fertilization does not necessarily lead to growth compensation of partly defoliated young birch trees.  SISEF.",12,1
"Arthur_2013_EnviEnto","Impact of Halotydeus destructor on crop seedlings at different plant developmental stages and levels of moisture stress","Arthur, A.L. and Hoffmann, A.A. and Umina, P.A.","Environmental Entomology","0046225X","42","998-1012","2013","10.1603/EN13008","Tolerance and compensatory ability after invertebrate damage are important components of plant defense and are affected by various endogenous and exogenous factors. Here, we examine the impact of feeding damage caused by different densities of the redlegged earth mite (Halotydeus destructor Tucker) on the performance and recovery of canola and wheat seedlings at different plant developmental stages, and when grown under three levels of moisture stress. Both canola and wheat were susceptible to feeding damage caused by H. destructor at early growth development stages (canola - cotyledon, first and second true leaf stage; wheat - GS10 and GS12), but tolerated damage at the later growth stages (canola - third true leaf stage; wheat - GS14). Wheat plants compensated completely for mite feeding damage, while canola plants showed partial compensation when feeding occurred at the cotyledon and first true leaf stages. Canola was susceptible to immediate feeding damage from H. destructor under all levels of moisture stress and did not compensate for this damage over time when grown in the unstressed and moderately stressed treatments. Under severe moisture stress conditions, plant performance traits and mite density often showed a nonlinear relationship, with growth initially increasing as mite density increased, but then decreasing markedly as densities exceeded 30 mites/100 cm2. Wheat seedlings were susceptible to immediate feeding damage when grown in the unstressed and severe stress conditions, but were generally able to compensate for this damage regardless of moisture conditions. The implications of these results for the management of H. destructor are discussed.  2013 Entomological Society of America.",13,2
"Atala_2009_ACOEJOOFEC","Effect of water availability on tolerance of leaf damage in tall morning glory, Ipomoea purpurea","Atala, Cristian and Gianoli, Ernesto","ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY","1146-609X","35","236-242","2009","10.1016/j.actao.2008.10.006","Resource availability may limit plant tolerance of herbivory. To predict the effect of differential resource availability on plant tolerance, the limiting resource model (LRM) considers which resource limits plant fitness and which resource is mostly affected by herbivore damage. We tested the effect of experimental drought on tolerance of leaf damage in Ipomoea purpurea, which is naturally exposed to both leaf damage and summer drought. To seek mechanistic explanations, we also measured several morphological, allocation and gas exchange traits. In this case, LRM predicts that tolerance would be the same in both water treatments. Plants were assigned to a combination of two water treatments (control and low water) and two damage treatments (50\% defoliation and undamaged). Plants showed tolerance of leaf damage, i.e., a similar number of fruits were produced by damaged and undamaged plants, only in control water. Whereas experimental drought affected all plant traits, leaf damage caused plants to show a greater leaf trichome density and reduced shoot biomass, but only in low water. It is suggested that the reduced fitness (number of fruits) of damaged plants in low water was mediated by the differential reduction of shoot biomass, because the number of fruits per shoot biomass was similar in damaged and undamaged plants. Alternative but less likely explanations include the opposing direction of functional responses to drought and defoliation, and resource costs of the damage-induced leaf trichome density. Our results somewhat challenge the LRM predictions, but further research including field experiments is needed to validate some of the preliminary conclusions drawn. (C) 2008 Elsevier Masson SAS. All rights reserved.",14,1
"Atala_2009_ActaOeco","Effect of water availability on tolerance of leaf damage in tall morning glory, Ipomoea purpurea","Atala, C. and Gianoli, E.","Acta Oecologica","1146609X","35","236-242","2009","10.1016/j.actao.2008.10.006","Resource availability may limit plant tolerance of herbivory. To predict the effect of differential resource availability on plant tolerance, the limiting resource model (LRM) considers which resource limits plant fitness and which resource is mostly affected by herbivore damage. We tested the effect of experimental drought on tolerance of leaf damage in Ipomoea purpurea, which is naturally exposed to both leaf damage and summer drought. To seek mechanistic explanations, we also measured several morphological, allocation and gas exchange traits. In this case, LRM predicts that tolerance would be the same in both water treatments. Plants were assigned to a combination of two water treatments (control and low water) and two damage treatments (50% defoliation and undamaged). Plants showed tolerance of leaf damage, i.e., a similar number of fruits were produced by damaged and undamaged plants, only in control water. Whereas experimental drought affected all plant traits, leaf damage caused plants to show a greater leaf trichome density and reduced shoot biomass, but only in low water. It is suggested that the reduced fitness (number of fruits) of damaged plants in low water was mediated by the differential reduction of shoot biomass, because the number of fruits per shoot biomass was similar in damaged and undamaged plants. Alternative but less likely explanations include the opposing direction of functional responses to drought and defoliation, and resource costs of the damage-induced leaf trichome density. Our results somewhat challenge the LRM predictions, but further research including field experiments is needed to validate some of the preliminary conclusions drawn.  2008 Elsevier Masson SAS. All rights reserved.",15,1
"Averill_2016_BiolInva","Deer feeding selectivity for invasive plants","Averill, K.M. and Mortensen, D.A. and Smithwick, E.A.H. and Post, E.","Biological Invasions","13873547","18","1247-1263","2016","10.1007/s10530-016-1063-z","Native generalist herbivores might limit plant invasion by consuming invading plants or enhance plant invasion by selectively avoiding them. The role of herbivores in plant invasion has been investigated in relation to plant native/introduced status, however, a knowledge gap exists about whether food selection occurs according to native/introduced status or to species. We tested preference of the native herbivore white-tailed deer (Odocoileus virginianus) for widespread and frequently occurring invasive introduced and native plants in the northeastern United States. Multiple-choice deer preference trials were conducted for the species and relative preference was determined using biomass consumption and feeding behavior. While more native than introduced plant biomass was consumed overall, deer food selection varied strongly by plant species. Results show consistent deer avoidance of several invasive introduced plants (Alliaria petiolata, Berberis thunbergii, and Microstegium vimineum) and a native plant (Dennstaedtia punctilobula). Other invasive introduced plants (Celastrus orbiculatus, Ligustrum vulgare, and Lonicera morrowii) and a native plant (Acer rubrum) were highly preferred. These results provide evidence that herbivore impacts on plant invaders depend on plant species palatability. Consequently, herbivore selectivity likely plays an important role in the invasion process. To the extent that herbivory impacts population demographics, these results suggest that native generalist herbivores promote enemy release of some plant invaders by avoiding themand contribute to biotic resistance of others by consuming them.  2016, Springer International Publishing Switzerland.",16,2
"Bagchi_2011_Oiko","Herbivory and plant tolerance: Experimental tests of alternative hypotheses involving non-substitutable resources","Bagchi, S. and Ritchie, M.E.","Oikos","00301299","120","119-127","2011","10.1111/j.1600-0706.2010.18932.x","A mechanistic understanding of the highly variable effects of herbivores on plant production in different ecosystems remains a major challenge. To explain these patterns, the compensatory continuum hypothesis (CCH) predicts plants to compensate for defoliation when resources are abundant, whereas the growth rate hypothesis (GRH) makes the opposite claim of high herbivory tolerance under resource-poor conditions. The limiting resource model (LRM) tries to reconcile this dichotomy by incorporating the indirect effects of herbivores on plant resources and predicts that the potential for plant compensation is dependent upon whether, and how, herbivory influences limiting resources. Although extensively evaluated in laboratory monocultures, it remains uncertain whether these models can also explain the response of heterogeneous and multi-species natural plant communities to defoliation. Here we investigate community-wide plant response to defoliation and report data from a field experiment in the arid and primarily water-limited Trans-Himalayan grazing ecosystem in northern India involving clipping, irrigation and nutrient-feedback with herbivore dung. Without nutrient-feedback, plants compensated for defoliation in absence of irrigation but failed to compensate under irrigation. Whereas, in the presence of nutrient-feedback plants compensated for defoliation when irrigated. This divergent pattern is not consistent with the CCH and GRH, and is only partially explained by the LRM. Instead, these pluralistic results are consistent with the hypothesis that herbivory may alter the relative strengths of water and nutrient limitation since irrigation increased root:shoot ratio in absence of fertilization in unclipped plots, but not in the corresponding clipped plots. So, herbivory appears to increase relative strength of nutrient-limitation for plants that otherwise seem to be primarily water-limited. Extending the LRM framework to include herbivore-mediated transitions between water and nutrient-limitation may clarify the underlying mechanisms that modulate herbivory-tolerance under different environmental conditions.  2011 The Authors.",17,2
"Bakker_2014_Oeco","Experimental evidence for enhanced top-down control of freshwater macrophytes with nutrient enrichment","Bakker, E.S. and Nolet, B.A.","Oecologia","00298549","176","825-836","2014","10.1007/s00442-014-3047-y","The abundance of primary producers is controlled by bottom-up and top-down forces. Despite the fact that there is consensus that the abundance of freshwater macrophytes is strongly influenced by the availability of resources for plant growth, the importance of top-down control by vertebrate consumers is debated, because field studies yield contrasting results. We hypothesized that these bottom-up and top-down forces may interact, and that consumer impact on macrophyte abundance depends on the nutrient status of the water body. To test this hypothesis, experimental ponds with submerged vegetation containing a mixture of species were subjected to a fertilization treatment and we introduced consumers (mallard ducks, for 8days) on half of the ponds in a full factorial design. Over the whole 66-day experiment fertilized ponds became dominated by Elodea nuttallii and ponds without extra nutrients by Chara globularis. Nutrient addition significantly increased plant N and P concentrations. There was a strong interactive effect of duck presence and pond nutrient status: macrophyte biomass was reduced (by 50%) after the presence of the ducks on fertilized ponds, but not in the unfertilized ponds. We conclude that nutrient availability interacts with top-down control of submerged vegetation. This may be explained by higher plant palatability at higher nutrient levels, either by a higher plant nutrient concentration or by a shift towards dominance of more palatable plant species, resulting in higher consumer pressure. Including nutrient availability may offer a framework to explain part of the contrasting field observations of consumer control of macrophyte abundance.  2014, The Author(s).",18,2
"Ballina.Gmez_2010_JoofTrEc","Compensatory growth responses to defoliation and light availability in two native Mexican woody plant species","Ballina-Gmez, H.S. and Iriarte-Vivar, S. and Orellana, R. and Santiago, L.S.","Journal of Tropical Ecology","02664674","26","163-171","2010","10.1017/S0266467409990514","Defoliation, often caused by herbivory, is a common cause of biomass loss for plants that can affect current and future growth and reproduction. There are three models that predict contrasting compensatory growth responses of plants to herbivory and resource availability: (1) Growth rate model, (2) Compensatory continuum hypothesis and (3) Limiting resource model. The predictions of these three models were tested on the tree Brosimum alicastrum and the liana Vitis tiliifolia. Seedlings were subjected to three levels of experimental defoliation (0%, 50% and 90% leaf removal) along a light resource gradient (1%, 9% and 65% of full sun). In both species, defoliation significantly increased leaf production rate and relative growth rate of leaf area, but not of biomass. Net assimilation rate was the strongest driver of biomass growth in both species, but leaf area ratio and specific leaf area were also important in B. alicastrum. Compensatory responses of leaf area growth in B. alicastrum were significantly greater in higher than lower light availability, consistent with the compensatory continuum hypothesis predictions, but in contrast to the growth rate model predictions. The limiting resource model offered an explanation for all possible experimental outcomes by directly considering the effects of environmental differences in resource availability. Copyright  2010 Cambridge University Press.",19,2
"Baltzer_2012_EcoandEvo","Rainfall seasonality and pest pressure as determinants of tropical tree species' distributions","Baltzer, J.L. and Davies, S.J.","Ecology and Evolution","20457758","2","2682-2694","2012","10.1002/ece3.383","Drought and pests are primary abiotic and biotic factors proposed as selective filters acting on species distributions along rainfall gradients in tropical forests and may contribute importantly to species distributional limits, performance, and diversity gradients. Recent research demonstrates linkages between species distributions along rainfall gradients and physiological drought tolerance; corresponding experimental examinations of the contribution of pest pressure to distributional limits and potential interactions between drought and herbivory are limited. This study aims to quantitate differential performance and herbivory as a function of species range limits across a climatic and floristic transition in Southeast Asia. Khao Chong Botanical Garden, Thailand and Pasoh Forest Reserve, Malaysia straddle the Kangar-Pattani Line. A reciprocal transplantation across a seasonality gradient was established using two groups of species (""widespread"" taxa whose distributions include seasonally dry forests and ""aseasonal"" taxa whose distributions are limited to aseasonal forests). Growth, biomass allocation, survival, and herbivory were monitored for 19 months. Systematic differences in performance were a function of species distribution in relation to rainfall seasonality. In aseasonal Pasoh, aseasonal species had both greater growth and survivorship than widespread species. These differences were not a function of differential herbivory as widespread and aseasonal species experienced similar damage in the aseasonal forest. In seasonally dry Khao Chong, widespread species showed higher survivorship than aseasonal species, but these differences were only apparent during drought. We link this differential performance to physiological mechanisms as well as differential tolerance of biotic pressure during drought stress. Systematic decreases in seedling survival in aseasonal taxa during drought corresponded with previously documented physiological differences and may be exacerbated by herbivore damage. These results have important implications for tropical diversity and community composition in light of predicted increases in the frequency and severity of drought in hyperdiverse tropical forests.  2012 The Authors. Ecology and Evolution published by Blackwell Publishing Ltd.",20,2
