"label","title","author","journal","issn","volume","pages","year","doi","abstract","duplicate_group","n_duplicates"
"Douziech2018171","Quantifying variability in removal efficiencies of chemicals in activated sludge wastewater treatment plants-a meta-analytical approach","Douziech, M. and Conesa, I.R. and Bentez-Lpez, A. and Franco, A. and Huijbregts, M. and Van Zelm, R.","Environmental Science: Processes and Impacts","20507887","20","171-182","2018","10.1039/c7em00493a","Large variations in removal efficiencies (REs) of chemicals have been reported for monitoring studies of activated sludge wastewater treatment plants (WWTPs). In this work, we conducted a meta-analysis on REs (1539 data points) for a set of 209 chemicals consisting of fragrances, surfactants, and pharmaceuticals in order to assess the drivers of the variability relating to inherent properties of the chemicals and operational parameters of activated sludge WWTPs. For a reduced dataset (n = 542), we developed a mixed-effect model (meta-regression) to explore the observed variability in REs for the chemicals using three chemical specific factors and four WWTP-related parameters. The overall removal efficiency of the set of chemicals was 82.1% (95% CI 75.2-87.1%, N = 1539). Our model accounted for 17% of the total variability in REs, while the process-based model SimpleTreat did not perform better than the average of the measured REs. We identified that, after accounting for other factors potentially influencing RE, readily biodegradable compounds were better removed than non-readily biodegradable ones. Further, we showed that REs increased with increasing sludge retention times (SRTs), especially for non-readily biodegradable compounds. Finally, our model highlighted a decrease in RE with increasing KOC. The counterintuitive relationship to KOC stresses the need for a better understanding of electrochemical interactions influencing the RE of ionisable chemicals. In addition, we highlighted the need to improve the modelling of chemicals that undergo deconjugation when predicting RE. Our meta-analysis represents a first step in better explaining the observed variability in measured REs of chemicals. It can be of particular help to prioritize the improvements required in existing process-based models to predict removal efficiencies of chemicals in WWTPs.  2018 The Royal Society of Chemistry.",17,1
"Feng2016","Soil ionomic and enzymatic responses and correlations to fertilizations amended with and without organic fertilizer in long-term experiments","Feng, X. and Ling, N. and Chen, H. and Zhu, C. and Duan, Y. and Peng, C. and Yu, G. and Ran, W. and Shen, Q. and Guo, S.","Scientific Reports","20452322","6",NA,"2016","10.1038/srep24559","To investigate potential interactions between the soil ionome and enzyme activities affected by fertilization with or without organic fertilizer, soil samples were collected from four long-term experiments over China. Irrespective of variable interactions, fertilization type was the major factor impacting soil ionomic behavior and accounted for 15.14% of the overall impact. Sampling site was the major factor affecting soil enzymatic profile and accounted for 34.25% of the overall impact. The availabilities of Pb, La, Ni, Co, Fe and Al were significantly higher in soil with only chemical fertilizer than the soil with organic amendment. Most of the soil enzyme activities, including -glucosidase activity, were significantly activated by organic amendment. Network analysis between the soil ionome and the soil enzyme activities was more complex in the organic-amended soils than in the chemical fertilized soils, whereas the network analysis among the soil ions was less complex with organic amendment. Moreover, -glucosidase was revealed to generally harbor more corrections with the soil ionic availabilities in network. We concluded that some of the soil enzymes activated by organic input can make the soil more vigorous and stable and that the -glucosidase revealed by this analysis might help stabilize the soil ion availability.",18,3
"Ferriss2019254","Bivalve aquaculture and eelgrass: A global meta-analysis","Ferriss, B.E. and Conway-Cranos, L.L. and Sanderson, B.L. and Hoberecht, L.","Aquaculture","00448486","498","254-262","2019","10.1016/j.aquaculture.2018.08.046","The marine, intertidal zone is the optimal environment for eelgrass (Zostera spp.) and bivalve aquaculture. Eelgrass is a valuable and protected nearshore habitat. It is important to understand how bivalve aquaculture interacts with eelgrass to support the sustainable development of this globally expanding industry. This study provides a comprehensive understanding of the positive and negative effects of bivalve aquaculture on eelgrass by conducting the first quantitative, global meta-analysis of aquaculture-eelgrass studies. A literature review resulted in 125 studies that met established criteria for inclusion in this analysis. The meta-analysis determined: (1) how eelgrass responds to on-bottom and off-bottom bivalve aquaculture, (2) how these responses vary between regions and specific grow-out methods, and (3) the resilience of eelgrass after harvesting disturbances. On-bottom culture (laying directly on the sediment potentially including predator exclusion devices) corresponded to significant increases in eelgrass growth and reproduction, and a decrease in density and biomass. Off-bottom culture (e.g., longline and suspended bag) resulted in significant decreases in eelgrass density, percent cover, and reproduction. Results support a space-competition hypothesis for on-bottom culture and provide limited support for light limitation in off-bottom culture, although other mechanisms of interaction are potentially occurring as well. A US west coast case study revealed regional differences in eelgrass responses, including a more negative trend in eelgrass density from off-bottom culture, and a neutral effect on reproduction from on-bottom culture (relative to neutral and positive trend, respectively, in the average of all other studies). Eelgrass densities recovered after all harvest methods, however mechanical harvest methods created greater initial impact and longer recovery times than manual harvest methods. The time-period over which observations were reported was an important variable that was not included in the analysis but could influence these results. These analyses suggest the response of eelgrass to bivalve aquaculture varies depending on eelgrass characteristics, grow-out approaches, and harvesting methods, with potential regionally specific relationships. Questions remain, regarding how this dynamic relationship between eelgrass and aquaculture habitat relates to ecological functions and services in the nearshore environment.  2018",19,2
"Gao2018853","Belowground responses of phragmites Australis and suaeda salsa to salinity and water depth changes","Gao, F.-L. and Wang, Y.-H. and Whitt, A.A. and Wang, H.-D. and Ma, C.-C. and Guo, H.-Y.","Pakistan Journal of Botany","05563321","50","853-861","2018",NA,"Mesocosm experiments were conducted to examine belowground responses of Phragmites australis and Suaeda salsa to the combined stresses of increased salinity and water depth. The results demonstrated that: (1) belowground biomass of P. australis responded negatively to both increased salinity and water depth, whereas belowground biomass of S. salsa mainly responded negatively to increased water depth; (2) belowground biomass of S. salsa negatively responded to increased water depth more strongly than that of P. australis, thus S. salsa might disappear before P. australis in wetlands experiencing prolonged water-logging; (3) P. australis and S. salsa responded to increased salinity and/or water-logging by shifting their resource allocations towards aboveground biomass; (4) belowground biomass of P. australis tended to have more negative responses to increased salinity and water depth at deeper versus shallower soil depths, hindering P. australis from utilizing resources in deeper soil; in contrast, belowground biomass of S. salsa tended to have more negative responses to increased water depth at shallower versus deeper soil depths, greatly decreasing the overall root density and thereby increasing the chance of uprooting disturbance to S. salsa. These responses would accelerate sediment loss due to compromised sediment-binding abilities of P. australis and S. salsa, leading to an adverse positive feedback between environmental changes associated with sea level rise and performance of P. australis and S. salsa, resulting in faster deterioration of coastal wetlands than might otherwise be expected.  2018, Pakistan Botanical Society. All rights reserved.",20,2
"Gervasi2017","Linking ecology and epidemiology to understand predictors of multi-host responses to an emerging pathogen, the amphibian chytrid fungus","Gervasi, S.S. and Stephens, P.R. and Hua, J. and Searle, C.L. and Xie, G.Y. and Urbina, J. and Olson, D.H. and Bancroft, B.A. and Weis, V. and Hammond, J.I. and Relyea, R.A. and Blaustein, A.R.","PLoS ONE","19326203","12",NA,"2017","10.1371/journal.pone.0167882","Variation in host responses to pathogens can have cascading effects on populations and communities when some individuals or groups of individuals display disproportionate vulnerability to infection or differ in their competence to transmit infection. The fungal pathogen, Batrachochytrium dendrobatidis (Bd) has been detected in almost 700 different amphibian species and is implicated in numerous global amphibian population declines. Identifying key hosts in the amphibian-Bd system-those who are at greatest risk or who pose the greatest risk for others-is challenging due in part to many extrinsic environmental factors driving spatiotemporal Bd distribution and context-dependent host responses to Bd in the wild. One way to improve predictive risk models and generate testable mechanistic hypotheses about vulnerability is to complement what we know about the spatial epidemiology of Bd with data collected through comparative experimental studies. We used standardized pathogen challenges to quantify amphibian survival and infection trajectories across 20 post-metamorphic North American species raised from eggs. We then incorporated trait-based models to investigate the predictive power of phylogenetic history, habitat use, and ecological and life history traits in explaining responses to Bd. True frogs (Ranidae) displayed the lowest infection intensities, whereas toads (Bufonidae) generally displayed the greatest levels of mortality after Bd exposure. Affiliation with ephemeral aquatic habitat and breadth of habitat use were strong predictors of vulnerability to and intensity of infection and several other traits including body size, lifespan, age at sexual maturity, and geographic range also appeared in top models explaining host responses to Bd. Several of the species examined are highly understudied with respect to Bd such that this study represents the first experimental susceptibility data. Combining insights gained from experimental studies with observations of landscapelevel disease prevalence may help explain current and predict future pathogen dynamics in the Bd system.",21,3
"He2015462","Biogeographic consequences of nutrient enrichment for plant-herbivore interactions in coastal wetlands","He, Q. and Silliman, B.R.","Ecology Letters","1461023X","18","462-471","2015","10.1111/ele.12429","A major challenge in ecology is to understand broadscale trends in the impact of environmental change. We provide the first integrative analysis of the effects of eutrophication on plants, herbivores, and their interactions in coastal wetlands across latitudes. We show that fertilisation strongly increases herbivory in salt marshes, but not in mangroves, and that this effect increases with increasing latitude in salt marshes. We further show that stronger nutrient effects on plant nitrogen concentration at higher latitudes is the mechanism likely underlying this pattern. This biogeographic variation in nutrient effects on plant-herbivore interactions has consequences for vegetation, with those at higher latitudes being more vulnerable to consumer pressure fuelled by eutrophication. Our work provides a novel, mechanistic understanding of how eutrophication affects plant-herbivore systems predictably across broad latitudinal gradients, and highlights the power of incorporating biogeography into understanding large-scale variability in the impacts of environmental change.  2015 John Wiley & Sons Ltd/CNRS.",22,2
"Joshi2018105","Characteristics of microbial community functional structure of a biological coking wastewater treatment system","Joshi, D.R. and Zhang, Y. and Zhang, H. and Gao, Y. and Yang, M.","Journal of Environmental Sciences (China)","10010742","63","105-115","2018","10.1016/j.jes.2017.07.011","Nitrogenous heterocyclic compounds are key pollutants in coking wastewater; however, the functional potential of microbial communities for biodegradation of such contaminants during biological treatment is still elusive. Herein, a high throughput functional gene array (GeoChip 5.0) in combination with Illumina HiSeq2500 sequencing was used to compare and characterize the microbial community functional structure in a long run (500 days) bench scale bioreactor treating coking wastewater, with a control system treating synthetic wastewater. Despite the inhibitory toxic pollutants, GeoChip 5.0 detected almost all key functional gene (average 61,940 genes) categories in the coking wastewater sludge. With higher abundance, aromatic ring cleavage dioxygenase genes including multi ring1,2diox; one ring2,3diox; catechol represented significant functional potential for degradation of aromatic pollutants which was further confirmed by Illumina HiSeq2500 analysis results. Response ratio analysis revealed that three nitrogenous compound degrading genes- nbzA (nitro-aromatics), tdnB (aniline), and scnABC (thiocyanate) were unique for coking wastewater treatment, which might be strong cause to increase ammonia level during the aerobic process. Additionally, HiSeq2500 elucidated carbozole and isoquinoline degradation genes in the system. These findings expanded our understanding on functional potential of microbial communities to remove organic nitrogenous pollutants; hence it will be useful in optimization strategies for biological treatment of coking wastewater.  2017",23,2
"Knapp2018","A global meta-analysis of yield stability in organic and conservation agriculture","Knapp, S. and van der Heijden, M.G.A.","Nature Communications","20411723","9",NA,"2018","10.1038/s41467-018-05956-1","One of the primary challenges of our time is to enhance global food production and security. Most assessments in agricultural systems focus on plant yield. Yet, these analyses neglect temporal yield stability, or the variability and reliability of production across years. Here we perform a meta-analysis to assess temporal yield stability of three major cropping systems: organic agriculture and conservation agriculture (no-tillage) vs. conventional agriculture, comparing 193 studies based on 2896 comparisons. Organic agriculture has, per unit yield, a significantly lower temporal stability (15%) compared to conventional agriculture. Thus, although organic farming promotes biodiversity and is generally more environmentally friendly, future efforts should focus on reducing its yield variability. Our analysis further indicates that the use of green manure and enhanced fertilisation can reduce the yield stability gap between organic and conventional agriculture. The temporal stability (3%) of no-tillage does not differ significantly from those of conventional tillage indicating that a transition to no-tillage does not affect yield stability.  2018, The Author(s).",24,3
"Koricheva2013","Handbook of meta-analysis in ecology and evolution","Koricheva, J. and Gurevitch, J. and Mengersen, K.","Handbook of Meta-analysis in Ecology and Evolution",NA,NA,NA,"2013",NA,"Meta-analysis is a powerful statistical methodology for synthesizing research evidence across independent studies. This is the first comprehensive handbook of meta-analysis written specifically for ecologists and evolutionary biologists, and it provides an invaluable introduction for beginners as well as an up-to-date guide for experienced meta-analysts. The chapters, written by renowned experts, walk readers through every step of meta-analysis, from problem formulation to the presentation of the results. The handbook identifies both the advantages of using meta-analysis for research synthesis and the potential pitfalls and limitations of meta-analysis (including when it should not be used). Different approaches to carrying out a meta-analysis are described, and include moment and least-square, maximum likelihood, and Bayesian approaches, all illustrated using worked examples based on real biological datasets. This one-of-a-kind resource is uniquely tailored to the biological sciences, and will provide an invaluable text for practitioners from graduate students and senior scientists to policymakers in conservation and environmental management. Walks you through every step of carrying out a meta-analysis in ecology and evolutionary biology, from problem formulation to result presentation Brings together experts from a broad range of fields Shows how to avoid, minimize, or resolve pitfalls such as missing data, publication bias, varying data quality, nonindependence of observations, and phylogenetic dependencies among species Helps you choose the right software Draws on numerous examples based on real biological datasets.  2013 by Princeton University Press. All Rights Reserved.",25,1
"Lajeunesse20152056","Bias and correction for the log response ratio in ecological meta-analysis","Lajeunesse, M.J.","Ecology","00129658","96","2056-2063","2015","10.1890/14-2402.1","Ecologists widely use the log response ratio for summarizing the outcomes of studies for meta-analysis. However, little is known about the sampling distribution of this effect size estimator. Here I show with a Monte Carlo simulation that the log response ratio is biased when quantifying the outcome of studies with small sample sizes, and can yield erroneous variance estimates when the scale of study parameters are near zero. Given these challenges, I derive and compare two new estimators that help correct this small-sample bias, and update guidelines and diagnostics for assessing when the response ratio is appropriate for ecological meta-analysis. These new bias-corrected estimators retain much of the original utility of the response ratio and are aimed to improve the quality and reliability of inferences with effect sizes based on the log ratio of two means.  2015 by the Ecological Society of America.",26,2
"Lajeunesse2016323","Facilitating systematic reviews, data extraction and meta-analysis with the metagear package for R","Lajeunesse, M.J.","Methods in Ecology and Evolution","2041210X","7","323-330","2016","10.1111/2041-210X.12472","The R package ecosystem is rich in tools for the statistics of meta-analysis. However, there are few resources available to facilitate research synthesis as a whole. Here, I present the metagear package for r. It is a comprehensive, multifunctional toolbox with capabilities aimed to cover much of the research synthesis taxonomy: from applying a systematic review approach to objectively assemble and screen the literature, to extracting data from studies, and to finally summarize and analyse these data with the statistics of meta-analysis. Current functionalities of metagear include the following: an abstract screener GUI to efficiently sieve bibliographic information from large numbers of candidate studies; tools to assign screening effort across multiple collaborators/reviewers and to assess inter-reviewer reliability using kappa statistics; PDF downloader to automate the retrieval of journal articles from online data bases; automated data extractions from scatter-plots, box-plots and bar-plots; PRISMA flow diagrams; simple imputation tools to fill gaps in incomplete or missing study parameters; generation of random-effects sizes for Hedges' d, log response ratio, odds ratio and correlation coefficients for Monte Carlo experiments; covariance equations for modelling dependencies among multiple effect sizes (e.g. with a common control, phylogenetic correlations); and finally, summaries that replicate analyses and outputs from widely used but no longer updated meta-analysis software. Research synthesis practices are vital to many disciplines in the sciences, including ecology and evolutionary biology, and metagear aims to enrich the scope, quality and reproducibility of what can be achieved with the systematic review and meta-analysis of research outcomes.  2016 British Ecological Society.",27,2
"Lefevre2016","Are global warming and ocean acidification conspiring against marine ectotherms? A meta-analysis of the respiratory effects of elevated temperature, high CO2 and their interaction","Lefevre, S.","Conservation Physiology","20511434","4",NA,"2016","10.1093/conphys/cow009","With the occurrence of global change, research aimed at estimating the performance of marine ectotherms in a warmer and acidified future has intensified. The concept of oxygen- and capacity-limited thermal tolerance, which is inspired by the Fry paradigm of a bell-shaped increase-optimum-decrease-type response of aerobic scope to increasing temperature, but also includes proposed negative and synergistic effects of elevated CO2 levels, has been suggested as a unifying framework. The objectives of this meta-analysis were to assess the following: (i) the generality of a bell-shaped relationship between absolute aerobic scope (AAS) and temperature; (ii) to what extent elevated CO2 affects resting oxygen uptake MO2rest and AAS; and (iii) whether there is an interaction between elevated temperature and CO2. The behavioural effects of CO2 are also briefly discussed. In 31 out of 73 data sets (both acutely exposed and acclimated), AAS increased and remained above 90% of the maximum, whereas a clear thermal optimum was observed in the remaining 42 data sets. Carbon dioxide caused a significant rise in MO2rest in only 18 out of 125 data sets, and a decrease in 25, whereas it caused a decrease in AAS in four out of 18 data sets and an increase in two. The analysis did not reveal clear evidence for an overall correlation with temperature, CO2 regime or duration of CO2 treatment. When CO2 had an effect, additive rather than synergistic interactions with temperature were most common and, interestingly, they even interacted antagonistically on MO2rest and AAS. The behavioural effects of CO2 could complicate experimental determination of respiratory performance. Overall, this meta-analysis reveals heterogeneity in the responses to elevated temperature and CO2 that is not in accordance with the idea of a single unifying principle and which cannot be ignored in attempts to model and predict the impacts of global warming and ocean acidification on marine ectotherms.  The Author 2016.",28,3
"Lehmann2014123","Arbuscular mycorrhizal influence on zinc nutrition in crop plants - A meta-analysis","Lehmann, A. and Veresoglou, S.D. and Leifheit, E.F. and Rillig, M.C.","Soil Biology and Biochemistry","00380717","69","123-131","2014","10.1016/j.soilbio.2013.11.001","The effects of soil Zinc (Zn) deficiency on human health and productivity of livestock and crops are severe and thus increasing the Zn concentration in plant tissue (and/or its bioavailability to humans, which we cannot explicitly consider here due to lack of data) has to be a goal of modern, sustainable agriculture. In this meta-analysis, we quantitatively analyzed the potential role of arbuscular mycorrhizal fungi (AMF) in improving Zn concentrations in plant tissues for a variety of crops and soils. We performed a random-effects meta-analysis on 104 articles comprising 263 trials to test the influence of 10 independent variables on AMF-mediated Zn concentration in comparison to non-mycorrhizal control plants for above-, belowground, fruit and seed tissue. AMF had a positive overall impact on Zn concentration in all tissue types and this positive effect was modulated primarily by soil texture. Soil pH and soil Zn concentration affected AMF-mediated shoot Zn concentration soil P concentration influenced fruit Zn concentration. For our dataset, we concluded that AMF positively affected Zn concentration in various crop plant tissues under distinct environmental conditions.  2013 Elsevier Ltd.",29,2
"Lehmann2015147","Arbuscular mycorrhizal contribution to copper, manganese and iron nutrient concentrations in crops - A meta-analysis","Lehmann, A. and Rillig, M.C.","Soil Biology and Biochemistry","00380717","81","147-158","2015","10.1016/j.soilbio.2014.11.013","The micronutrients copper (Cu), manganese (Mn) and iron (Fe) are essential for crop plant development and productivity. However, a quantitative, data-based consensus has yet to be reached on the role of arbuscular mycorrhizal fungi (AMF) in Cu, Mn and Fe nutrition in crops.Thus, we performed a meta-analysis to quantitatively synthesize the findings of 233 single publications and to test the impact of 10 moderator variables on the AM fungal mediated Cu, Mn and Fe aboveground tissue concentration. AMF had overall a significantly positive effect on crop Cu nutrition (on average 29%). For Fe, a positive AM fungal mediated effect was detectable only for intermediate 'experimental duration' (lasting 56-112 days). AMF only produced a positive effect on Mn nutrition in herbs, while for other plant types, edaphic and study-related factors we documented neutral or negative results.The application of AMF for crop plant fortification is still in its infancy. Here we found evidence for a significant role of AMF for Cu, Fe and (to a limited extent) Mn crop plant nutrition. This highlights that more efforts should be devoted to harnessing the potential beneficial effects of these symbionts not just for yield but also nutritional quality, especially considering increasing demands for food quality in the future.  2014 Elsevier Ltd.",30,2
"Lehtinen2014524","Effect of crop residue incorporation on soil organic carbon and greenhouse gas emissions in European agricultural soils","Lehtinen, T. and Schlatter, N. and Baumgarten, A. and Bechini, L. and Krger, J. and Grignani, C. and Zavattaro, L. and Costamagna, C. and Spiegel, H.","Soil Use and Management","02660032","30","524-538","2014","10.1111/sum.12151","Soil organic matter (SOM) improves soil physicochemical and biological properties, and the sequestration of carbon in SOM may mitigate climate change. Soil organic carbon (SOC) often decreases in intensive cropping systems. Incorporation of crop residues (CR) may be a sustainable management practice to maintain the SOC levels and to increase soil fertility. This study quantifies the effects of CR incorporation on SOC and greenhouse gas (GHG) emissions (CO2 and N2O) in Europe using data from long-term experiments. Response ratios (RRs) for SOC and GHG emissions were calculated between CR incorporation and removal. The influence of environmental zones (ENZs), clay content and experiment duration on the RRs was investigated. We also studied how RRs of SOC and crop yields were correlated. A total of 475 RRs were derived from 39 publications. The SOC increased by 7% following CR incorporation. In contrast, in a subsample of cases, CO2 emissions were six times and N2O emissions 12 times higher following CR incorporation. The ENZ had no significant influence on RRs. For SOC concentration, soils with a clay content &gt;35% showed 8% higher RRs compared with soils with clay contents between 18 and 35%. As the experiment progressed, RR for SOC concentration increased. For N2O emissions, RR was significantly greater in experiments with a duration &lt;5 yr compared with 11-20 yr. No significant correlations were found between RR for SOC concentration and yields, but differences between sites and study durations were detected. We suggest that a long duration of crop residue incorporation is a win-win scenario under a continental climate. We conclude that CR incorporation is important for maintaining SOC, but its influence on GHG emissions should be taken into account as well.  2014 British Society of Soil Science.",31,2
"Leifheit2014523","Multiple factors influence the role of arbuscular mycorrhizal fungi in soil aggregation-a meta-analysis","Leifheit, E.F. and Veresoglou, S.D. and Lehmann, A. and Morris, E.K. and Rillig, M.C.","Plant and Soil","0032079X","374","523-537","2014","10.1007/s11104-013-1899-2","Background and aims: Soil aggregation is a crucial aspect of ecosystem functioning in terrestrial ecosystems. Arbuscular mycorrhizal fungi (AMF) play a key role in soil aggregate formation and stabilization. Here we quantitatively analyzed the importance of experimental settings as well as biotic and abiotic factors for the effectiveness of AMF to stabilize soil macroaggregates. Methods: We gathered 35 studies on AMF and soil aggregation and tested 13 predictor variables for their relevance with a boosted regression tree analysis and performed a meta-analysis, fitting individual random effects models for each variable. Results and conclusions: The overall mean effect of inoculation with AMF on soil aggregation was positive and predictor variable means were all in the range of beneficial effects. Pot studies and studies with sterilized sandy soil, near neutral soil pH, a pot size smaller than 2.5 kg and a duration between 2.2 and 5 months were more likely to result in stronger effects of AMF on soil aggregation than experiments in the field, with non-sterilized or fine textured soil or an acidic pH. This is the first study to quantitatively show that the effect of AMF inoculation on soil aggregation is positive and context dependent. Our findings can help to improve the use of this important ecosystem process, e.g. for inoculum application in restoration sites.  2013 Springer Science+Business Media Dordrecht.",32,2
"Lesur.Dumoulin2017","Lower average yields but similar yield variability in organic versus conventional horticulture. A meta-analysis","Lesur-Dumoulin, C. and Malzieux, E. and Ben-Ari, T. and Langlais, C. and Makowski, D.","Agronomy for Sustainable Development","17740746","37",NA,"2017","10.1007/s13593-017-0455-5","Organic agriculture prohibits the use of almost all synthetic inputs and it is expected to have lower impacts on natural resources than conventional agriculture. However, previous meta-analyses have shown that yields in organic systems are in average 8 to 25% lower compared with conventional systems. Here, we focus on horticulture (fruits and vegetables) and we refine our knowledge by characterising the distributions of organic and conventional yields both in terms of average yield loss and in terms of variability across experiments and across years. We built a new dataset including 636 ratios of organic versus conventional yields covering 37 horticultural species and 17 countries and estimated (i) mean yield ratios, (ii) yield ratio probability distribution across experiments and (iii) interannual yield variances in organic and conventional systems. Our results show that yields in organic horticulture are indeed on average 10 to 32% lower than those in conventional horticulture but they exhibit large variation across experiments. An analysis of yield ratio probability distribution shows that yield loss in organic horticulture has about 10% chances to exceed 50% compared to conventional systems. The analysis gives also around 20% chances to get higher yields in organic horticulture compared to conventional systems. None of the tested covariates (e.g. crop type, climate zone) was able to explain a significant part of the yield ratio variability. We find no evidence of a larger interannual variability (i.e. lower yield stability) in organic versus conventional horticulture. Longer-term trials could nonetheless help substantiate this result. Our results support also the needs to conduct new experiments in countries from the Southern Hemisphere and to collect standard data on crop management and environmental characteristics.  2017, INRA and Springer-Verlag France SAS.",33,2
"Li2016","Effects of shrub encroachment on soil organic carbon in global grasslands","Li, H. and Shen, H. and Chen, L. and Liu, T. and Hu, H. and Zhao, X. and Zhou, L. and Zhang, P. and Fang, J.","Scientific Reports","20452322","6",NA,"2016","10.1038/srep28974","This study aimed to evaluate the effect of shrub encroachment on soil organic carbon (SOC) content at broad scales and its controls. We conducted a meta-analysis using paired control data of shrub-encroached grassland (SEG) vs. non-SEG collected from 142 studies worldwide. SOC contents (0-50 cm) were altered by shrub encroachment, with changes ranging from -50% to + 300%, with an effect size of 0.15 (p < 0.01). The SOC contents increased in semi-arid and humid regions, and showed a greater rate of increase in grassland encroached by leguminous shrubs than by non-legumes. The SOC content decreased in silty and clay soils but increased in sand, sandy loam and sandy clay loam. The SOC content increment was significantly positively correlated with precipitation and temperature as well as with soil bulk density but significantly negatively correlated with soil total nitrogen. We conclude the main effects of shrub encroachment would be to increase topsoil organic carbon content. As structural equation model revealed, soils properties seem to be the primary factors responsible for the extent of the changes, coarse textured soils having a greater capacity than fine textured soils to increase the SOC content. This increased effect appears to be secondarily enhanced by climate and plant elements.",34,3
"Liu2013","Male circumcision significantly reduces prevalence and load of genital anaerobic bacteria","Liu, C.M. and Hungate, B.A. and Tobian, A.A.R. and Serwadda, D. and Ravel, J. and Lester, R. and Kigozi, G. and Aziz, M. and Galiwango, R.M. and Nalugoda, F. and Contente-Cuomo, T.L. and Wawer, M.J. and Keim, P. and Gray, R.H. and Price, L.B.","mBio","21612129","4",NA,"2013","10.1128/mBio.00076-13","Male circumcision reduces female-to-male HIV transmission. Hypothesized mechanisms for this protective effect include decreased HIV target cell recruitment and activation due to changes in the penis microbiome. We compared the coronal sulcus microbiota of men from a group of uncircumcised controls (n77) and from a circumcised intervention group (n79) at enrollment and year 1 follow-up in a randomized circumcision trial in Rakai, Uganda. We characterized microbiota using16S rRNA gene-based quantitative PCR (qPCR) and pyrosequencing, log response ratio (LRR), Bayesian classification, nonmetric multidimensional scaling (nMDS), and permutational multivariate analysis of variance (PerMANOVA). At baseline, men in both study arms had comparable coronal sulcus microbiota; however, by year 1, circumcision decreased the total bacterial load and reduced microbiota biodiversity. Specifically, the prevalence and absolute abundance of 12 anaerobic bacterial taxa decreased significantly in the circumcised men. While aerobic bacterial taxa also increased postcircumcision, these gains were minor. The reduction in anaerobes may partly account for the effects of circumcision on reduced HIV acquisition.  2013 Liu et al.",35,3
"Lrling2018","Response of natural cyanobacteria and algae assemblages to a nutrient pulse and elevated temperature","Lrling, M. and Mello, M.M. and van Oosterhout, F. and Domis, L.S. and Marinho, M.M.","Frontiers in Microbiology","1664302X","9",NA,"2018","10.3389/fmicb.2018.01851","Eutrophication (nutrient over-enrichment) is the primary worldwide water quality issue often leading to nuisance cyanobacterial blooms. Climate change is predicted to cause further rise of cyanobacteria blooms as cyanobacteria can have a competitive advantage at elevated temperatures. We tested the hypothesis that simultaneous rise in nutrients and temperature will promote cyanobacteria more than a single increase in one of the two drivers. To this end, controlled experiments were run with seston from 39 different urban water bodies varying in trophic state from mesotrophic to hypertrophic. These experiments were carried out at two different temperatures, 20C (ambient) and 25C (warming scenario) with or without the addition of a surplus of nutrients (eutrophication scenario). To facilitate comparisons, we quantified the effect size of the different treatments, using cyanobacterial and algal chlorophyll a concentrations as a response variable. Cyanobacterial and algal chlorophyll a concentrations were determined with a PHYTO-PAM phytoplankton analyzer. Warming caused an 18% increase in cyanobacterial chlorophyll-, while algal chlorophyll- concentrations were on average 8% higher at 25C than at 20C. A nutrient pulse had a much stronger effect on chlorophyll- concentrations than warming. Cyanobacterial chlorophyll- concentrations in nutrient enriched incubations at 20 or 25C were similar and 9 times higher than in the incubations without nutrient pulse. Likewise, algal chlorophyll- concentrations were 6 times higher. The results of this study confirm that warming alone yields marginally higher cyanobacteria chlorophyll- concentrations, yet that a pulse of additional nutrients is boosting blooms. The responses of seston originating from mesotrophic waters seemed less strong than those from eutrophic waters, which indicates that nutrient control strategies -catchment as well as in-system measures- could increase the resilience of surface waters to the negative effects of climate change.  2018 Lrling, Mendes e Mello, van Oosterhout, de Senerpont Domis and Marinho.",36,3
"Nakagawa20121253","Methodological issues and advances in biological meta-analysis","Nakagawa, S. and Santos, E.S.A.","Evolutionary Ecology","02697653","26","1253-1274","2012","10.1007/s10682-012-9555-5","Meta-analysis has changed the way researchers conduct literature reviews not only in medical and social sciences but also in biological sciences. Meta-analysis in biological sciences, especially in ecology and evolution (which we refer to as 'biological' meta-analysis) faces somewhat different methodological problems from its counterparts in medical and social sciences, where meta-analytic techniques were originally developed. The main reason for such differences is that biological meta-analysis often integrates complex data composed of multiple strata with, for example, different measurements and a variety of species. Here, we review methodological issues and advancements in biological meta-analysis, focusing on three topics: (1) non-independence arising from multiple effect sizes obtained in single studies and from phylogenetic relatedness, (2) detecting and accounting for heterogeneity, and (3) identifying publication bias and measuring its impact. We show how the marriage between mixed-effects (hierarchical/multilevel) models and phylogenetic comparative methods has resolved most of the issues under discussion. Furthermore, we introduce the concept of across-study and within-study meta-analysis, and propose how the use of within-study meta-analysis can improve many empirical studies typical of ecology and evolution.  2012 Springer Science+Business Media B.V.",37,2
